"Timestamp","FCU-00-04  PIR Log","FCU-00-04   Enable Log","FCU-00-04  Status Log"
"17/03/2020 9:04:21 AM","0.00","0.00","1.00"
"17/03/2020 9:04:13 AM","0.00","1.00","1.00"
"17/03/2020 9:04:11 AM","0.00","1.00","0.00"
"17/03/2020 9:00:03 AM","0.00","0.00","0.00"
"17/03/2020 9:00:01 AM","0.00","0.00","1.00"
"17/03/2020 8:56:34 AM","0.00","1.00","1.00"
"17/03/2020 8:56:31 AM","0.00","1.00","0.00"
"17/03/2020 8:55:56 AM","0.00","0.00","0.00"
"17/03/2020 8:55:51 AM","0.00","0.00","1.00"
"17/03/2020 8:55:49 AM","0.00","1.00","1.00"
"17/03/2020 8:55:41 AM","0.00","1.00","0.00"
"17/03/2020 8:52:33 AM","0.00","0.00","0.00"
"17/03/2020 8:52:31 AM","0.00","0.00","1.00"
"17/03/2020 8:52:24 AM","0.00","1.00","1.00"
"17/03/2020 8:52:21 AM","0.00","1.00","0.00"
"17/03/2020 8:52:03 AM","0.00","0.00","0.00"
"17/03/2020 8:52:01 AM","0.00","0.00","1.00"
"17/03/2020 8:47:44 AM","0.00","1.00","1.00"
"17/03/2020 8:47:41 AM","0.00","1.00","0.00"
"17/03/2020 8:44:33 AM","0.00","0.00","0.00"
"17/03/2020 8:44:31 AM","0.00","0.00","1.00"
"17/03/2020 8:44:04 AM","0.00","1.00","1.00"
"17/03/2020 8:44:01 AM","0.00","1.00","0.00"
"17/03/2020 8:43:53 AM","0.00","0.00","0.00"
"17/03/2020 8:43:51 AM","0.00","0.00","1.00"
"17/03/2020 8:39:13 AM","0.00","1.00","1.00"
"17/03/2020 8:39:11 AM","0.00","1.00","0.00"
"17/03/2020 8:39:06 AM","0.00","0.00","0.00"
"17/03/2020 8:39:01 AM","0.00","0.00","1.00"
"17/03/2020 8:38:39 AM","0.00","1.00","1.00"
"17/03/2020 8:38:31 AM","0.00","1.00","0.00"
"17/03/2020 8:36:43 AM","0.00","0.00","0.00"
"17/03/2020 8:36:41 AM","0.00","0.00","1.00"
"17/03/2020 8:36:24 AM","0.00","1.00","1.00"
"17/03/2020 8:36:21 AM","0.00","1.00","0.00"
"17/03/2020 8:36:03 AM","0.00","0.00","0.00"
"17/03/2020 8:36:01 AM","0.00","0.00","1.00"
"17/03/2020 8:35:54 AM","0.00","1.00","1.00"
"17/03/2020 8:35:51 AM","0.00","1.00","0.00"
"17/03/2020 8:35:43 AM","0.00","0.00","0.00"
"17/03/2020 8:35:41 AM","0.00","0.00","1.00"
"17/03/2020 8:30:03 AM","0.00","1.00","1.00"
"17/03/2020 8:30:01 AM","0.00","1.00","0.00"
"17/03/2020 8:29:55 AM","0.00","0.00","0.00"
"17/03/2020 8:29:51 AM","0.00","0.00","1.00"
"17/03/2020 8:29:44 AM","0.00","1.00","1.00"
"17/03/2020 8:29:41 AM","0.00","1.00","0.00"
"17/03/2020 8:26:53 AM","0.00","0.00","0.00"
"17/03/2020 8:26:51 AM","0.00","0.00","1.00"
"17/03/2020 8:26:44 AM","0.00","1.00","1.00"
"17/03/2020 8:26:41 AM","0.00","1.00","0.00"
"17/03/2020 8:26:33 AM","0.00","0.00","0.00"
"17/03/2020 8:26:31 AM","0.00","0.00","1.00"
"17/03/2020 8:22:13 AM","0.00","1.00","1.00"
"17/03/2020 8:22:11 AM","0.00","1.00","0.00"
"17/03/2020 8:21:56 AM","0.00","0.00","0.00"
"17/03/2020 8:21:51 AM","0.00","0.00","1.00"
"17/03/2020 8:21:49 AM","0.00","1.00","1.00"
"17/03/2020 8:21:41 AM","0.00","1.00","0.00"
"17/03/2020 8:18:03 AM","0.00","0.00","0.00"
"17/03/2020 8:18:01 AM","0.00","0.00","1.00"
"17/03/2020 8:14:43 AM","0.00","1.00","1.00"
"17/03/2020 8:14:41 AM","0.00","1.00","0.00"
"17/03/2020 8:14:35 AM","0.00","0.00","0.00"
"17/03/2020 8:14:31 AM","0.00","0.00","1.00"
"17/03/2020 8:13:43 AM","0.00","1.00","1.00"
"17/03/2020 8:13:41 AM","0.00","1.00","0.00"
"17/03/2020 7:42:03 AM","0.00","0.00","0.00"
"17/03/2020 7:42:01 AM","0.00","0.00","1.00"
"17/03/2020 7:10:48 AM","0.00","1.00","1.00"
"17/03/2020 6:57:09 AM","1.00","1.00","1.00"
"17/03/2020 6:33:11 AM","0.00","1.00","1.00"
"17/03/2020 6:27:45 AM","1.00","1.00","1.00"
"17/03/2020 6:00:03 AM","0.00","1.00","1.00"
"17/03/2020 6:00:01 AM","0.00","1.00","0.00"
"16/03/2020 5:07:43 PM","0.00","0.00","0.00"
"16/03/2020 5:07:41 PM","0.00","0.00","1.00"
"16/03/2020 4:36:29 PM","0.00","1.00","1.00"
"16/03/2020 2:34:27 PM","1.00","1.00","1.00"
