"Timestamp","FCU-00-05  PIR Log","FCU-00-05  Status Log","FCU-00-05 Enable Log"
"20/03/2020 4:59:46 AM","1.00","1.00","1.00"
"20/03/2020 4:52:26 AM","0.00","1.00","1.00"
"20/03/2020 4:32:02 AM","1.00","1.00","1.00"
"20/03/2020 4:32:00 AM","1.00","1.00","1.00"
"20/03/2020 4:31:52 AM","1.00","1.00","1.00"
"20/03/2020 4:29:43 AM","1.00","1.00","1.00"
"20/03/2020 4:23:05 AM","1.00","1.00","1.00"
"20/03/2020 4:21:01 AM","1.00","1.00","1.00"
"20/03/2020 4:20:19 AM","1.00","1.00","1.00"
"20/03/2020 4:19:52 AM","0.00","1.00","1.00"
"20/03/2020 4:13:35 AM","0.00","1.00","1.00"
"20/03/2020 4:13:25 AM","0.00","1.00","1.00"
"20/03/2020 4:13:24 AM","0.00","0.00","1.00"
"20/03/2020 4:13:23 AM","0.00","0.00","1.00"
"20/03/2020 4:11:32 AM","0.00","1.00","1.00"
"20/03/2020 4:11:31 AM","0.00","0.00","1.00"
"20/03/2020 4:11:30 AM","0.00","0.00","1.00"
"20/03/2020 4:11:09 AM","0.00","1.00","1.00"
"20/03/2020 4:11:04 AM","0.00","0.00","1.00"
"20/03/2020 4:11:03 AM","0.00","1.00","1.00"
"20/03/2020 4:11:01 AM","0.00","0.00","1.00"
"20/03/2020 4:11:00 AM","0.00","1.00","1.00"
"20/03/2020 4:10:57 AM","0.00","0.00","1.00"
"20/03/2020 4:10:39 AM","0.00","1.00","1.00"
"20/03/2020 4:10:37 AM","0.00","1.00","1.00"
"20/03/2020 4:10:35 AM","0.00","0.00","1.00"
"20/03/2020 4:10:33 AM","0.00","1.00","1.00"
"20/03/2020 4:10:32 AM","0.00","1.00","1.00"
"20/03/2020 4:10:31 AM","0.00","1.00","1.00"
"20/03/2020 4:10:24 AM","0.00","1.00","1.00"
"20/03/2020 4:10:22 AM","0.00","1.00","1.00"
"20/03/2020 4:10:19 AM","0.00","0.00","1.00"
"20/03/2020 4:10:08 AM","0.00","1.00","1.00"
"20/03/2020 4:09:47 AM","0.00","1.00","1.00"
"20/03/2020 4:09:45 AM","0.00","0.00","1.00"
"20/03/2020 4:09:18 AM","0.00","1.00","1.00"
"20/03/2020 3:35:20 AM","1.00","1.00","1.00"
"20/03/2020 3:35:16 AM","1.00","1.00","1.00"
"20/03/2020 3:35:14 AM","1.00","0.00","1.00"
"20/03/2020 3:29:12 AM","1.00","0.00","0.00"
"20/03/2020 1:16:41 AM","0.00","0.00","0.00"
"20/03/2020 1:16:34 AM","0.00","1.00","0.00"
"20/03/2020 12:45:30 AM","0.00","1.00","1.00"
"20/03/2020 12:30:40 AM","1.00","1.00","1.00"
"20/03/2020 12:30:36 AM","1.00","0.00","1.00"
"20/03/2020 12:30:34 AM","1.00","0.00","1.00"
"20/03/2020 12:24:33 AM","1.00","0.00","0.00"
"20/03/2020 12:20:20 AM","0.00","0.00","0.00"
"20/03/2020 12:20:14 AM","0.00","1.00","0.00"
"19/03/2020 11:49:13 PM","0.00","1.00","1.00"
"19/03/2020 11:40:01 PM","1.00","1.00","1.00"
"19/03/2020 10:27:23 PM","1.00","1.00","1.00"
"19/03/2020 10:27:02 PM","1.00","1.00","1.00"
"19/03/2020 10:27:01 PM","1.00","0.00","1.00"
"19/03/2020 10:26:35 PM","1.00","1.00","1.00"
"19/03/2020 10:26:34 PM","1.00","0.00","1.00"
"19/03/2020 10:06:04 PM","1.00","1.00","1.00"
"19/03/2020 10:03:40 PM","1.00","1.00","1.00"
"19/03/2020 10:03:32 PM","1.00","1.00","1.00"
"19/03/2020 10:03:28 PM","1.00","1.00","1.00"
"19/03/2020 10:03:17 PM","1.00","1.00","1.00"
"19/03/2020 10:03:12 PM","1.00","1.00","1.00"
"19/03/2020 10:03:11 PM","1.00","0.00","1.00"
"19/03/2020 10:02:11 PM","1.00","1.00","1.00"
"19/03/2020 10:02:08 PM","1.00","1.00","1.00"
"19/03/2020 10:02:06 PM","1.00","1.00","1.00"
"19/03/2020 10:02:05 PM","1.00","0.00","1.00"
"19/03/2020 10:01:48 PM","1.00","1.00","1.00"
"19/03/2020 10:01:47 PM","1.00","1.00","1.00"
"19/03/2020 10:01:46 PM","1.00","0.00","1.00"
"19/03/2020 9:55:31 PM","1.00","1.00","1.00"
"19/03/2020 9:55:13 PM","1.00","1.00","1.00"
"19/03/2020 9:54:06 PM","1.00","1.00","1.00"
"19/03/2020 8:38:38 PM","1.00","1.00","1.00"
"19/03/2020 8:38:37 PM","1.00","0.00","1.00"
"19/03/2020 8:32:06 PM","1.00","1.00","1.00"
"19/03/2020 8:30:49 PM","1.00","1.00","1.00"
"19/03/2020 8:27:38 PM","1.00","1.00","1.00"
"19/03/2020 8:27:19 PM","1.00","1.00","1.00"
"19/03/2020 8:26:56 PM","1.00","1.00","1.00"
"19/03/2020 8:26:55 PM","1.00","0.00","1.00"
"19/03/2020 6:41:49 PM","1.00","1.00","1.00"
"19/03/2020 6:41:44 PM","1.00","1.00","1.00"
"19/03/2020 6:41:43 PM","1.00","0.00","1.00"
"19/03/2020 6:41:29 PM","1.00","1.00","1.00"
"19/03/2020 6:41:28 PM","1.00","0.00","1.00"
"19/03/2020 6:13:46 PM","1.00","1.00","1.00"
"19/03/2020 6:13:45 PM","1.00","0.00","1.00"
"19/03/2020 6:12:48 PM","1.00","1.00","1.00"
"19/03/2020 6:12:20 PM","1.00","1.00","1.00"
"19/03/2020 6:11:45 PM","1.00","1.00","1.00"
"19/03/2020 6:11:44 PM","1.00","0.00","1.00"
"19/03/2020 6:09:06 PM","1.00","1.00","1.00"
"19/03/2020 6:06:07 PM","1.00","1.00","1.00"
"19/03/2020 6:06:04 PM","1.00","0.00","1.00"
"19/03/2020 6:00:11 PM","1.00","0.00","0.00"
"19/03/2020 6:00:04 PM","1.00","1.00","0.00"
"19/03/2020 10:38:24 AM","1.00","1.00","1.00"
"19/03/2020 10:27:16 AM","1.00","1.00","1.00"
"19/03/2020 10:08:44 AM","1.00","1.00","1.00"
"19/03/2020 10:08:43 AM","1.00","0.00","1.00"
"19/03/2020 10:04:35 AM","1.00","1.00","1.00"
"19/03/2020 10:04:34 AM","1.00","0.00","1.00"
"19/03/2020 8:53:03 AM","1.00","1.00","1.00"
"19/03/2020 8:19:36 AM","1.00","1.00","1.00"
"19/03/2020 8:04:15 AM","1.00","1.00","1.00"
"19/03/2020 8:04:12 AM","1.00","1.00","1.00"
"19/03/2020 8:04:11 AM","1.00","0.00","1.00"
"19/03/2020 8:04:10 AM","1.00","1.00","1.00"
"19/03/2020 8:04:08 AM","1.00","1.00","1.00"
"19/03/2020 8:04:01 AM","1.00","1.00","1.00"
"19/03/2020 7:55:22 AM","1.00","1.00","1.00"
"19/03/2020 7:55:03 AM","1.00","1.00","1.00"
"19/03/2020 7:54:47 AM","1.00","1.00","1.00"
"19/03/2020 7:54:46 AM","1.00","0.00","1.00"
"19/03/2020 6:25:36 AM","1.00","1.00","1.00"
"19/03/2020 6:24:06 AM","1.00","1.00","1.00"
"19/03/2020 6:24:05 AM","1.00","0.00","1.00"
"19/03/2020 6:24:04 AM","1.00","1.00","1.00"
"19/03/2020 6:24:03 AM","1.00","0.00","1.00"
"19/03/2020 6:22:44 AM","1.00","1.00","1.00"
"19/03/2020 6:22:40 AM","1.00","1.00","1.00"
"19/03/2020 6:21:14 AM","1.00","1.00","1.00"
"19/03/2020 6:06:34 AM","1.00","1.00","1.00"
"19/03/2020 6:03:26 AM","1.00","1.00","1.00"
