"Timestamp","FCU-00-18 PIR Log","FCU-00-18Enable Log"
"13/03/2020 9:48:10 AM","0.00","0.00"
"13/03/2020 9:47:20 AM","0.00","1.00"
"13/03/2020 9:46:10 AM","0.00","0.00"
"13/03/2020 9:45:30 AM","0.00","1.00"
"13/03/2020 9:44:30 AM","0.00","0.00"
"13/03/2020 9:43:40 AM","0.00","1.00"
"13/03/2020 9:42:50 AM","0.00","0.00"
"13/03/2020 9:41:40 AM","0.00","1.00"
"13/03/2020 9:41:20 AM","0.00","0.00"
"13/03/2020 9:40:20 AM","0.00","1.00"
"13/03/2020 9:39:50 AM","0.00","0.00"
"13/03/2020 9:39:00 AM","0.00","1.00"
"13/03/2020 9:38:50 AM","0.00","0.00"
"13/03/2020 9:32:50 AM","0.00","1.00"
"13/03/2020 9:32:40 AM","0.00","0.00"
"13/03/2020 9:31:30 AM","0.00","1.00"
"13/03/2020 9:31:10 AM","0.00","0.00"
"13/03/2020 9:29:50 AM","0.00","1.00"
"12/03/2020 12:04:30 PM","0.00","0.00"
"12/03/2020 12:03:50 PM","0.00","1.00"
"12/03/2020 12:03:30 PM","0.00","0.00"
"12/03/2020 12:02:50 PM","0.00","1.00"
"12/03/2020 12:02:20 PM","0.00","0.00"
"12/03/2020 12:01:40 PM","0.00","1.00"
"12/03/2020 11:58:50 AM","0.00","0.00"
"12/03/2020 11:57:50 AM","0.00","1.00"
"12/03/2020 11:57:00 AM","0.00","0.00"
"12/03/2020 11:56:00 AM","0.00","1.00"
"12/03/2020 11:54:10 AM","0.00","0.00"
"12/03/2020 11:53:20 AM","0.00","1.00"
"12/03/2020 11:52:40 AM","0.00","0.00"
"12/03/2020 11:51:40 AM","0.00","1.00"
"12/03/2020 11:50:50 AM","0.00","0.00"
"12/03/2020 11:50:00 AM","0.00","1.00"
"12/03/2020 11:49:20 AM","0.00","0.00"
"12/03/2020 11:48:30 AM","0.00","1.00"
"12/03/2020 11:48:10 AM","0.00","0.00"
"12/03/2020 11:46:20 AM","0.00","1.00"
"12/03/2020 11:46:10 AM","0.00","0.00"
"12/03/2020 9:27:40 AM","0.00","1.00"
"11/03/2020 11:43:40 AM","0.00","0.00"
"11/03/2020 11:42:50 AM","0.00","1.00"
"11/03/2020 11:39:40 AM","0.00","0.00"
"11/03/2020 11:38:50 AM","0.00","1.00"
"11/03/2020 11:36:40 AM","0.00","0.00"
"11/03/2020 11:36:00 AM","0.00","1.00"
"11/03/2020 11:34:40 AM","0.00","0.00"
"11/03/2020 11:33:50 AM","0.00","1.00"
"11/03/2020 11:32:30 AM","0.00","0.00"
"11/03/2020 11:31:40 AM","0.00","1.00"
"11/03/2020 11:30:50 AM","0.00","0.00"
"11/03/2020 11:30:00 AM","0.00","1.00"
"11/03/2020 11:29:10 AM","0.00","0.00"
"11/03/2020 11:28:30 AM","0.00","1.00"
"11/03/2020 11:28:00 AM","0.00","0.00"
"11/03/2020 11:27:10 AM","0.00","1.00"
"11/03/2020 11:26:40 AM","0.00","0.00"
"11/03/2020 11:25:50 AM","0.00","1.00"
"11/03/2020 11:25:20 AM","0.00","0.00"
"11/03/2020 11:24:20 AM","0.00","1.00"
"11/03/2020 11:23:50 AM","0.00","0.00"
"11/03/2020 11:22:30 AM","0.00","1.00"
"11/03/2020 11:22:00 AM","0.00","0.00"
"11/03/2020 11:20:50 AM","0.00","1.00"
"11/03/2020 11:20:20 AM","0.00","0.00"
"11/03/2020 11:18:50 AM","0.00","1.00"
"11/03/2020 11:18:20 AM","0.00","0.00"
"11/03/2020 9:32:20 AM","0.00","1.00"
"11/03/2020 9:32:10 AM","0.00","0.00"
"11/03/2020 9:31:00 AM","0.00","1.00"
"11/03/2020 9:30:40 AM","0.00","0.00"
"11/03/2020 9:29:40 AM","0.00","1.00"
"10/03/2020 11:05:30 AM","0.00","0.00"
"10/03/2020 11:05:10 AM","0.00","1.00"
"10/03/2020 11:05:00 AM","0.00","0.00"
"10/03/2020 11:04:50 AM","0.00","1.00"
"10/03/2020 11:02:50 AM","0.00","0.00"
"10/03/2020 11:02:20 AM","0.00","1.00"
"10/03/2020 11:02:00 AM","0.00","0.00"
"10/03/2020 11:01:50 AM","0.00","1.00"
"10/03/2020 10:59:00 AM","0.00","0.00"
"10/03/2020 10:58:20 AM","0.00","1.00"
"10/03/2020 10:57:20 AM","0.00","0.00"
"10/03/2020 10:57:00 AM","0.00","1.00"
"10/03/2020 10:56:10 AM","0.00","0.00"
"10/03/2020 10:55:30 AM","0.00","1.00"
"10/03/2020 10:54:50 AM","0.00","0.00"
"10/03/2020 10:54:00 AM","0.00","1.00"
"10/03/2020 10:53:10 AM","0.00","0.00"
"10/03/2020 10:52:20 AM","0.00","1.00"
"10/03/2020 10:51:40 AM","0.00","0.00"
"10/03/2020 10:50:50 AM","0.00","1.00"
"10/03/2020 10:50:00 AM","0.00","0.00"
"10/03/2020 10:49:10 AM","0.00","1.00"
"10/03/2020 10:48:30 AM","0.00","0.00"
"10/03/2020 10:47:40 AM","0.00","1.00"
"10/03/2020 10:47:00 AM","0.00","0.00"
"10/03/2020 10:46:20 AM","0.00","1.00"
"10/03/2020 10:46:10 AM","0.00","0.00"
"10/03/2020 10:45:30 AM","0.00","1.00"
"10/03/2020 10:45:20 AM","0.00","0.00"
"10/03/2020 10:44:40 AM","0.00","1.00"
"10/03/2020 10:44:00 AM","0.00","0.00"
"10/03/2020 10:43:30 AM","0.00","1.00"
"10/03/2020 10:43:20 AM","0.00","0.00"
"10/03/2020 10:42:40 AM","0.00","1.00"
"10/03/2020 10:42:30 AM","0.00","0.00"
"10/03/2020 10:42:20 AM","0.00","1.00"
"10/03/2020 10:42:10 AM","0.00","0.00"
"10/03/2020 10:42:00 AM","0.00","1.00"
"10/03/2020 10:41:50 AM","0.00","0.00"
"10/03/2020 10:40:40 AM","0.00","1.00"
"10/03/2020 10:40:30 AM","0.00","0.00"
"10/03/2020 10:40:20 AM","0.00","1.00"
"10/03/2020 10:40:10 AM","0.00","0.00"
"10/03/2020 9:37:10 AM","0.00","1.00"
"10/03/2020 9:36:30 AM","0.00","0.00"
"10/03/2020 9:35:30 AM","0.00","1.00"
"10/03/2020 6:59:40 AM","0.00","0.00"
"10/03/2020 6:00:10 AM","0.00","1.00"
"9/03/2020 10:40:00 AM","0.00","0.00"
"9/03/2020 10:39:20 AM","0.00","1.00"
"9/03/2020 10:38:20 AM","0.00","0.00"
"9/03/2020 10:37:40 AM","0.00","1.00"
"9/03/2020 10:36:50 AM","0.00","0.00"
"9/03/2020 10:36:10 AM","0.00","1.00"
"9/03/2020 10:35:00 AM","0.00","0.00"
