"Timestamp","VM Carpark Lighting Hour Meter Trend Log","VM Carpark Power Hour Meter Trend Log","VM Mechanical Hour Meter Trend Log","VM Tenant Lighting Hour Meter Trend Log","VM Tenant Power Hour Meter Trend Log","VM Lifts Hour Meter Trend Log"," (Offline)"," (Offline)"," (Offline)"," (Offline)"," (Offline)"," (Offline)"," (Offline)"
"18/03/2020 10:00:00 PM","27.25","4.80","143.75","70.25","102.00","2.40","","","","","","",""
"18/03/2020 9:00:00 PM","33.88","4.78","206.50","70.63","107.00","2.41","","","","","","",""
"18/03/2020 8:00:00 PM","32.56","4.84","232.75","93.13","113.50","3.43","","","","","","",""
"18/03/2020 7:00:00 PM","30.69","4.81","267.50","99.38","111.75","4.04","","","","","","",""
"18/03/2020 6:00:00 PM","29.94","4.83","278.50","103.63","111.50","4.72","","","","","","",""
"18/03/2020 5:00:00 PM","29.94","4.89","301.75","106.13","115.75","3.75","","","","","","",""
"18/03/2020 4:00:00 PM","29.69","5.22","308.00","109.38","116.25","4.26","","","","","","",""
"18/03/2020 3:00:00 PM","32.00","11.16","293.25","102.50","119.25","4.39","","","","","","",""
"18/03/2020 2:00:00 PM","29.88","9.45","255.50","98.50","115.50","3.76","","","","","","",""
"18/03/2020 1:00:00 PM","33.50","6.89","238.25","95.50","105.50","3.59","","","","","","",""
"18/03/2020 12:00:00 PM","32.44","4.52","224.75","96.75","105.00","4.23","","","","","","",""
"18/03/2020 11:00:00 AM","33.75","4.45","173.50","89.25","102.00","4.84","","","","","","",""
"18/03/2020 10:00:00 AM","26.63","4.45","133.00","78.00","103.50","4.83","","","","","","",""
"18/03/2020 9:00:00 AM","29.31","4.44","135.50","74.38","101.00","3.41","","","","","","",""
"18/03/2020 8:00:00 AM","17.94","4.52","118.50","51.63","99.75","2.02","","","","","","",""
"18/03/2020 7:00:00 AM","23.13","4.44","122.50","52.38","94.00","1.88","","","","","","",""
"18/03/2020 6:00:00 AM","25.56","4.69","63.25","48.38","96.25","2.02","","","","","","",""
"18/03/2020 5:00:00 AM","15.13","4.44","32.75","17.50","98.25","1.68","","","","","","",""
"18/03/2020 4:00:00 AM","15.19","4.50","63.00","19.38","98.75","1.59","","","","","","",""
"18/03/2020 3:00:00 AM","12.19","4.45","79.50","18.75","99.50","1.58","","","","","","",""
"18/03/2020 2:00:00 AM","23.63","4.42","47.00","30.38","98.50","1.66","","","","","","",""
"18/03/2020 1:00:00 AM","17.50","4.50","78.75","41.88","98.50","1.68","","","","","","",""
"18/03/2020 12:00:00 AM","23.31","8.80","95.75","42.63","99.75","1.77","","","","","","",""
"17/03/2020 11:00:00 PM","31.31","9.94","108.50","51.88","100.75","1.85","","","","","","",""
"17/03/2020 10:00:00 PM","30.00","4.67","173.00","64.75","102.25","2.10","","","","","","",""
"17/03/2020 9:00:00 PM","30.75","4.77","150.25","71.63","104.50","2.51","","","","","","",""
"17/03/2020 8:00:00 PM","34.25","4.84","210.00","82.63","108.75","3.59","","","","","","",""
"17/03/2020 7:00:00 PM","31.00","5.16","269.75","96.88","106.25","4.16","","","","","","",""
"17/03/2020 6:00:00 PM","32.00","5.31","273.00","99.75","110.25","4.54","","","","","","",""
"17/03/2020 5:00:00 PM","33.75","5.55","272.50","102.00","113.75","4.28","","","","","","",""
"17/03/2020 4:00:00 PM","33.50","9.63","263.50","102.75","114.75","4.43","","","","","","",""
"17/03/2020 3:00:00 PM","32.63","6.14","249.00","100.25","115.50","4.44","","","","","","",""
"17/03/2020 2:00:00 PM","30.00","5.34","202.75","98.38","116.00","4.63","","","","","","",""
"17/03/2020 1:00:00 PM","32.31","5.31","204.50","96.88","111.00","4.09","","","","","","",""
"17/03/2020 12:00:00 PM","32.63","5.23","191.25","96.38","108.00","4.05","","","","","","",""
"17/03/2020 11:00:00 AM","32.63","5.13","130.75","91.50","105.50","6.23","","","","","","",""
"17/03/2020 10:00:00 AM","641,317.50","143,276.69","2,458,541.75","1,427,775.75","2,278,754.25","80,563.83","","","","","","",""
"17/03/2020 9:00:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","",""
"17/03/2020 8:00:00 AM","19.13","4.81","83.75","56.75","102.00","2.34","","","","","","",""
"17/03/2020 7:00:00 AM","23.13","4.84","94.25","54.13","93.75","1.91","","","","","","",""
"17/03/2020 6:00:00 AM","26.38","5.02","60.25","46.63","97.00","1.87","","","","","","",""
"17/03/2020 5:00:01 AM","15.56","4.61","32.00","16.88","99.00","1.65","","","","","","",""
"17/03/2020 5:00:00 AM","26.25","4.61","32.00","18.75","99.00","1.57","","","","","","",""
"17/03/2020 4:00:00 AM","26.25","4.59","35.00","18.75","99.50","1.57","","","","","","",""
"17/03/2020 3:00:00 AM","21.94","4.59","43.50","21.25","100.25","1.63","","","","","","",""
"17/03/2020 2:00:00 AM","26.31","4.61","51.75","33.00","100.75","1.71","","","","","","",""
"17/03/2020 1:00:00 AM","24.31","4.61","53.50","48.63","101.25","1.90","","","","","","",""
"17/03/2020 12:00:00 AM","27.50","4.66","72.00","55.00","104.25","1.95","","","","","","",""
"16/03/2020 11:00:00 PM","30.75","4.70","116.25","65.38","111.25","2.52","","","","","","",""
"16/03/2020 10:00:00 PM","31.94","5.08","154.00","79.00","120.50","3.35","","","","","","",""
"16/03/2020 9:00:00 PM","31.81","5.03","195.75","93.00","130.00","3.63","","","","","","",""
"16/03/2020 8:00:00 PM","32.25","5.25","234.00","106.63","142.75","5.35","","","","","","",""
"16/03/2020 7:00:00 PM","32.25","5.63","300.00","116.13","143.75","6.54","","","","","","",""
"16/03/2020 6:00:00 PM","34.25","5.78","303.25","120.13","150.00","7.55","","","","","","",""
"16/03/2020 5:00:00 PM","31.88","5.86","308.00","126.13","156.50","7.11","","","","","","",""
"16/03/2020 4:00:00 PM","30.06","5.78","296.25","128.00","153.75","7.05","","","","","","",""
"16/03/2020 3:00:00 PM","31.38","5.94","268.00","126.75","153.00","7.77","","","","","","",""
"16/03/2020 2:00:00 PM","34.19","8.11","288.50","125.00","153.00","7.91","","","","","","",""
"16/03/2020 1:00:00 PM","30.44","9.13","166.25","120.75","149.00","7.10","","","","","","",""
"16/03/2020 12:00:00 PM","640,707.13","143,158.06","2,455,206.50","1,426,067.38","2,276,078.00","80,472.59","","","","","","",""
"16/03/2020 11:00:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","",""
"16/03/2020 10:00:00 AM","31.81","5.55","122.75","99.75","125.50","8.13","","","","","","",""
"16/03/2020 9:00:00 AM","27.56","5.34","112.50","81.63","106.75","5.84","","","","","","",""
"16/03/2020 8:00:00 AM","19.56","4.81","88.50","61.50","100.50","2.57","","","","","","",""
"16/03/2020 7:00:00 AM","21.50","4.80","68.00","57.13","94.25","2.04","","","","","","",""
"16/03/2020 6:00:00 AM","25.13","5.06","55.75","46.13","95.75","2.08","","","","","","",""
"16/03/2020 5:00:00 AM","22.75","4.59","55.75","25.38","97.75","1.73","","","","","","",""
"16/03/2020 4:00:00 AM","21.25","4.61","31.75","20.63","98.50","1.63","","","","","","",""
"16/03/2020 3:00:00 AM","19.25","4.56","30.50","19.38","98.50","1.62","","","","","","",""
"16/03/2020 2:00:00 AM","22.88","4.58","35.25","16.13","97.75","1.58","","","","","","",""
"16/03/2020 1:00:00 AM","25.00","4.59","37.75","32.25","98.50","1.69","","","","","","",""
"16/03/2020 12:00:00 AM","21.63","4.61","41.00","33.38","98.00","1.70","","","","","","",""
"15/03/2020 11:00:00 PM","31.13","4.67","43.50","36.13","98.50","1.65","","","","","","",""
"15/03/2020 10:00:00 PM","21.69","4.63","46.00","36.38","98.75","1.74","","","","","","",""
"15/03/2020 9:00:00 PM","26.25","4.61","47.00","38.38","99.75","1.93","","","","","","",""
"15/03/2020 8:00:00 PM","29.06","4.59","51.00","33.00","99.00","1.89","","","","","","",""
"15/03/2020 7:00:00 PM","21.94","4.63","68.00","37.88","92.00","1.93","","","","","","",""
"15/03/2020 6:00:00 PM","19.50","4.66","89.00","47.50","89.75","1.80","","","","","","",""
"15/03/2020 5:00:00 PM","25.81","4.63","63.50","44.63","89.50","1.92","","","","","","",""
"15/03/2020 4:00:00 PM","20.13","4.63","63.75","42.25","89.25","1.89","","","","","","",""
"15/03/2020 3:00:00 PM","25.50","4.63","86.75","43.13","90.25","1.95","","","","","","",""
"15/03/2020 2:00:00 PM","27.63","4.63","53.75","36.75","90.00","1.81","","","","","","",""
"15/03/2020 1:00:00 PM","22.88","4.59","44.00","38.13","90.00","2.00","","","","","","",""
"15/03/2020 12:00:00 PM","22.44","4.48","39.75","28.25","90.00","1.84","","","","","","",""
"15/03/2020 11:00:00 AM","18.81","4.55","39.00","28.13","89.75","1.78","","","","","","",""
"15/03/2020 10:00:00 AM","21.31","4.55","36.00","28.25","98.00","1.67","","","","","","",""
