"Timestamp","FCU-00-10  PIR Log","FCU-00-10   Enable Log","FCU-00-10 Status Log"
"24/03/2020 1:08:17 PM","0.00","1.00","1.00"
"24/03/2020 1:08:14 PM","0.00","1.00","0.00"
"24/03/2020 1:08:04 PM","0.00","0.00","0.00"
"24/03/2020 1:07:54 PM","0.00","0.00","1.00"
"24/03/2020 1:07:47 PM","0.00","1.00","1.00"
"24/03/2020 1:07:44 PM","0.00","1.00","0.00"
"24/03/2020 1:07:09 PM","0.00","0.00","0.00"
"24/03/2020 1:07:04 PM","0.00","0.00","1.00"
"24/03/2020 1:05:37 PM","0.00","1.00","1.00"
"24/03/2020 1:05:34 PM","0.00","1.00","0.00"
"24/03/2020 1:04:18 PM","0.00","0.00","0.00"
"24/03/2020 1:04:14 PM","0.00","0.00","1.00"
"24/03/2020 1:04:07 PM","0.00","1.00","1.00"
"24/03/2020 1:04:04 PM","0.00","1.00","0.00"
"24/03/2020 1:03:39 PM","0.00","0.00","0.00"
"24/03/2020 1:03:34 PM","0.00","0.00","1.00"
"24/03/2020 1:03:17 PM","0.00","1.00","1.00"
"24/03/2020 1:03:14 PM","0.00","1.00","0.00"
"24/03/2020 1:02:39 PM","0.00","0.00","0.00"
"24/03/2020 1:02:38 PM","0.00","0.00","1.00"
"24/03/2020 1:02:37 PM","0.00","0.00","1.00"
"24/03/2020 1:02:34 PM","0.00","0.00","1.00"
"24/03/2020 1:02:27 PM","0.00","1.00","1.00"
"24/03/2020 1:02:24 PM","0.00","1.00","0.00"
"24/03/2020 1:01:59 PM","0.00","0.00","0.00"
"24/03/2020 1:01:54 PM","0.00","0.00","1.00"
"24/03/2020 1:01:47 PM","0.00","1.00","1.00"
"24/03/2020 1:01:44 PM","0.00","1.00","0.00"
"24/03/2020 1:01:39 PM","0.00","0.00","0.00"
"24/03/2020 1:01:34 PM","0.00","0.00","1.00"
"24/03/2020 1:01:22 PM","0.00","1.00","1.00"
"24/03/2020 1:01:14 PM","0.00","1.00","0.00"
"24/03/2020 1:01:09 PM","0.00","0.00","0.00"
"24/03/2020 1:01:04 PM","0.00","0.00","1.00"
"24/03/2020 1:00:42 PM","0.00","1.00","1.00"
"24/03/2020 1:00:34 PM","0.00","1.00","0.00"
"24/03/2020 1:00:19 PM","0.00","0.00","0.00"
"24/03/2020 1:00:14 PM","0.00","0.00","1.00"
"24/03/2020 12:59:47 PM","0.00","1.00","1.00"
"24/03/2020 12:59:44 PM","0.00","1.00","0.00"
"24/03/2020 12:59:39 PM","0.00","0.00","0.00"
"24/03/2020 12:59:38 PM","0.00","0.00","0.00"
"24/03/2020 12:59:34 PM","0.00","0.00","1.00"
"24/03/2020 12:59:27 PM","0.00","1.00","1.00"
"24/03/2020 12:59:24 PM","0.00","1.00","0.00"
"24/03/2020 12:59:19 PM","0.00","0.00","0.00"
"24/03/2020 12:59:14 PM","0.00","0.00","1.00"
"24/03/2020 12:59:07 PM","0.00","1.00","1.00"
"24/03/2020 12:59:04 PM","0.00","1.00","0.00"
"24/03/2020 12:58:24 PM","0.00","0.00","0.00"
"24/03/2020 12:58:14 PM","0.00","0.00","1.00"
"24/03/2020 12:58:07 PM","0.00","1.00","1.00"
"24/03/2020 12:58:04 PM","0.00","1.00","0.00"
"24/03/2020 12:57:39 PM","0.00","0.00","0.00"
"24/03/2020 12:57:38 PM","0.00","0.00","1.00"
"24/03/2020 12:57:34 PM","0.00","0.00","1.00"
"24/03/2020 12:57:17 PM","0.00","1.00","1.00"
"24/03/2020 12:57:14 PM","0.00","1.00","0.00"
"24/03/2020 12:56:59 PM","0.00","0.00","0.00"
"24/03/2020 12:56:54 PM","0.00","0.00","1.00"
"24/03/2020 12:56:47 PM","0.00","1.00","1.00"
"24/03/2020 12:56:44 PM","0.00","1.00","0.00"
"24/03/2020 12:56:39 PM","0.00","0.00","0.00"
"24/03/2020 12:56:34 PM","0.00","0.00","1.00"
"24/03/2020 12:56:27 PM","0.00","1.00","1.00"
"24/03/2020 12:56:24 PM","0.00","1.00","0.00"
"24/03/2020 12:56:19 PM","0.00","0.00","0.00"
"24/03/2020 12:56:14 PM","0.00","0.00","1.00"
"24/03/2020 12:55:57 PM","0.00","1.00","1.00"
"24/03/2020 12:55:54 PM","0.00","1.00","0.00"
"24/03/2020 12:55:39 PM","0.00","0.00","0.00"
"24/03/2020 12:55:34 PM","0.00","0.00","1.00"
"24/03/2020 12:55:27 PM","0.00","1.00","1.00"
"24/03/2020 12:55:24 PM","0.00","1.00","0.00"
"24/03/2020 12:55:09 PM","0.00","0.00","0.00"
"24/03/2020 12:55:04 PM","0.00","0.00","1.00"
"24/03/2020 12:54:37 PM","0.00","1.00","1.00"
"24/03/2020 12:54:34 PM","0.00","1.00","0.00"
"24/03/2020 12:54:09 PM","0.00","0.00","0.00"
"24/03/2020 12:54:04 PM","0.00","0.00","1.00"
"24/03/2020 12:53:37 PM","0.00","1.00","1.00"
"24/03/2020 12:53:34 PM","0.00","1.00","0.00"
"24/03/2020 12:53:09 PM","0.00","0.00","0.00"
"24/03/2020 12:53:04 PM","0.00","0.00","1.00"
"24/03/2020 12:52:37 PM","0.00","1.00","1.00"
"24/03/2020 12:52:34 PM","0.00","1.00","0.00"
"24/03/2020 12:52:29 PM","0.00","0.00","0.00"
"24/03/2020 12:52:24 PM","0.00","0.00","1.00"
"24/03/2020 12:51:17 PM","0.00","1.00","1.00"
"24/03/2020 12:51:14 PM","0.00","1.00","0.00"
"24/03/2020 12:50:29 PM","0.00","0.00","0.00"
"24/03/2020 12:50:28 PM","0.00","0.00","1.00"
"24/03/2020 12:50:24 PM","0.00","0.00","1.00"
"24/03/2020 12:50:17 PM","0.00","1.00","1.00"
"24/03/2020 12:50:14 PM","0.00","1.00","0.00"
"24/03/2020 12:49:49 PM","0.00","0.00","0.00"
"24/03/2020 12:49:44 PM","0.00","0.00","1.00"
"24/03/2020 12:49:27 PM","0.00","1.00","1.00"
"24/03/2020 12:49:24 PM","0.00","1.00","0.00"
"24/03/2020 12:49:09 PM","0.00","0.00","0.00"
"24/03/2020 12:49:04 PM","0.00","0.00","1.00"
"24/03/2020 12:46:47 PM","0.00","1.00","1.00"
"24/03/2020 12:46:44 PM","0.00","1.00","0.00"
"24/03/2020 12:46:39 PM","0.00","0.00","0.00"
"24/03/2020 12:46:34 PM","0.00","0.00","1.00"
"24/03/2020 12:46:27 PM","0.00","1.00","1.00"
"24/03/2020 12:46:24 PM","0.00","1.00","0.00"
"24/03/2020 12:46:09 PM","0.00","0.00","0.00"
"24/03/2020 12:46:04 PM","0.00","0.00","1.00"
"24/03/2020 12:45:42 PM","0.00","1.00","1.00"
"24/03/2020 12:45:34 PM","0.00","1.00","0.00"
"24/03/2020 12:45:24 PM","0.00","0.00","1.00"
"24/03/2020 12:45:16 PM","0.00","1.00","1.00"
"24/03/2020 12:45:14 PM","0.00","1.00","0.00"
"24/03/2020 12:45:04 PM","0.00","0.00","1.00"
"24/03/2020 12:45:01 PM","0.00","1.00","1.00"
"24/03/2020 12:44:57 PM","0.00","1.00","1.00"
"24/03/2020 12:44:54 PM","0.00","1.00","0.00"
"24/03/2020 12:44:29 PM","0.00","0.00","0.00"
"24/03/2020 12:44:24 PM","0.00","0.00","1.00"
"24/03/2020 12:44:17 PM","0.00","1.00","1.00"
"24/03/2020 12:44:14 PM","0.00","1.00","0.00"
"24/03/2020 12:44:09 PM","0.00","0.00","0.00"
"24/03/2020 12:44:04 PM","0.00","0.00","1.00"
"24/03/2020 12:42:37 PM","0.00","1.00","1.00"
"24/03/2020 12:42:34 PM","0.00","1.00","0.00"
"24/03/2020 12:42:29 PM","0.00","0.00","0.00"
"24/03/2020 12:42:24 PM","0.00","0.00","1.00"
"24/03/2020 12:41:12 PM","0.00","1.00","1.00"
"24/03/2020 12:41:04 PM","0.00","1.00","0.00"
"24/03/2020 12:40:59 PM","0.00","0.00","0.00"
"24/03/2020 12:40:54 PM","0.00","0.00","1.00"
"24/03/2020 12:39:32 PM","0.00","1.00","1.00"
"24/03/2020 12:39:24 PM","0.00","1.00","0.00"
"24/03/2020 12:39:19 PM","0.00","0.00","0.00"
"24/03/2020 12:39:14 PM","0.00","0.00","1.00"
"24/03/2020 12:35:42 PM","0.00","1.00","1.00"
"24/03/2020 12:35:34 PM","0.00","1.00","0.00"
"24/03/2020 12:35:29 PM","0.00","0.00","0.00"
"24/03/2020 12:35:24 PM","0.00","0.00","1.00"
"24/03/2020 12:34:52 PM","0.00","1.00","1.00"
"24/03/2020 12:34:44 PM","0.00","1.00","0.00"
"24/03/2020 12:34:39 PM","0.00","0.00","0.00"
"24/03/2020 12:34:38 PM","0.00","0.00","1.00"
"24/03/2020 12:34:34 PM","0.00","0.00","1.00"
