"Timestamp","FCU PIR Log","FCU Enable Log","FCU Status Log"
"10/03/2020 9:21:41 AM","1.00","1.00","0.00"
"10/03/2020 9:21:39 AM","1.00","0.00","0.00"
"10/03/2020 7:33:43 AM","0.00","0.00","0.00"
"10/03/2020 7:33:41 AM","0.00","0.00","1.00"
"10/03/2020 7:02:33 AM","0.00","1.00","1.00"
"10/03/2020 6:55:15 AM","1.00","1.00","1.00"
"10/03/2020 6:00:03 AM","0.00","1.00","1.00"
"10/03/2020 6:00:01 AM","0.00","1.00","0.00"
"9/03/2020 4:50:53 PM","0.00","0.00","0.00"
"9/03/2020 4:50:51 PM","0.00","0.00","1.00"
"9/03/2020 4:19:41 PM","0.00","1.00","1.00"
"9/03/2020 4:14:44 PM","1.00","1.00","1.00"
"9/03/2020 4:14:41 PM","1.00","1.00","0.00"
"9/03/2020 4:14:33 PM","1.00","0.00","0.00"
"9/03/2020 10:29:43 AM","0.00","0.00","0.00"
"9/03/2020 10:29:41 AM","0.00","0.00","1.00"
"9/03/2020 9:58:35 AM","0.00","1.00","1.00"
"9/03/2020 9:49:21 AM","1.00","1.00","1.00"
"9/03/2020 9:36:41 AM","0.00","1.00","1.00"
"9/03/2020 9:30:44 AM","1.00","1.00","1.00"
"9/03/2020 9:30:41 AM","1.00","1.00","0.00"
"9/03/2020 9:30:37 AM","1.00","0.00","0.00"
"9/03/2020 7:35:23 AM","0.00","0.00","0.00"
"9/03/2020 7:35:21 AM","0.00","0.00","1.00"
"9/03/2020 7:04:12 AM","0.00","1.00","1.00"
"9/03/2020 6:46:45 AM","1.00","1.00","1.00"
"9/03/2020 6:00:04 AM","0.00","1.00","1.00"
"9/03/2020 6:00:01 AM","0.00","1.00","0.00"
"7/03/2020 6:50:53 PM","0.00","0.00","0.00"
"7/03/2020 6:50:51 PM","0.00","0.00","1.00"
"7/03/2020 6:19:44 PM","0.00","1.00","1.00"
"7/03/2020 6:08:34 PM","1.00","1.00","1.00"
"7/03/2020 6:08:31 PM","1.00","1.00","0.00"
"7/03/2020 6:02:26 PM","1.00","0.00","0.00"
"7/03/2020 1:05:13 PM","0.00","0.00","0.00"
"7/03/2020 1:05:11 PM","0.00","0.00","1.00"
"7/03/2020 12:34:01 PM","0.00","1.00","1.00"
"7/03/2020 12:19:44 PM","1.00","1.00","1.00"
"7/03/2020 12:19:41 PM","1.00","1.00","0.00"
"7/03/2020 12:13:37 PM","1.00","0.00","0.00"
"6/03/2020 10:14:18 AM","0.00","0.00","0.00"
"6/03/2020 10:14:11 AM","0.00","0.00","1.00"
"6/03/2020 9:43:05 AM","0.00","1.00","1.00"
"6/03/2020 9:37:59 AM","1.00","1.00","1.00"
"6/03/2020 9:37:51 AM","1.00","1.00","0.00"
"6/03/2020 9:37:44 AM","1.00","0.00","0.00"
"6/03/2020 7:31:48 AM","0.00","0.00","0.00"
"6/03/2020 7:31:41 AM","0.00","0.00","1.00"
"6/03/2020 7:00:27 AM","0.00","1.00","1.00"
"6/03/2020 6:50:14 AM","1.00","1.00","1.00"
"6/03/2020 6:50:11 AM","1.00","1.00","0.00"
"6/03/2020 6:50:08 AM","1.00","0.00","0.00"
"5/03/2020 9:59:23 PM","0.00","0.00","0.00"
