"Timestamp","FCU-00-06   PIR Log","FCU-00-06   Enable Log","FCU-00-06   Status Log"
"20/03/2020 9:36:10 AM","1.00","1.00","0.00"
"20/03/2020 9:36:02 AM","1.00","1.00","1.00"
"20/03/2020 9:36:01 AM","1.00","1.00","0.00"
"20/03/2020 9:36:00 AM","1.00","1.00","1.00"
"20/03/2020 9:35:53 AM","1.00","1.00","0.00"
"20/03/2020 9:35:44 AM","1.00","0.00","0.00"
"20/03/2020 6:24:16 AM","0.00","0.00","0.00"
"20/03/2020 6:24:13 AM","0.00","0.00","1.00"
"20/03/2020 5:53:04 AM","0.00","1.00","1.00"
"20/03/2020 5:51:26 AM","1.00","1.00","1.00"
"20/03/2020 5:51:22 AM","1.00","1.00","1.00"
"20/03/2020 5:51:13 AM","1.00","1.00","0.00"
"20/03/2020 5:45:11 AM","1.00","0.00","0.00"
"19/03/2020 5:13:36 PM","0.00","0.00","0.00"
"19/03/2020 5:13:33 PM","0.00","0.00","1.00"
"19/03/2020 4:42:28 PM","0.00","1.00","1.00"
"19/03/2020 3:38:02 PM","1.00","1.00","1.00"
"19/03/2020 3:37:43 PM","1.00","1.00","0.00"
"19/03/2020 3:37:39 PM","1.00","0.00","0.00"
"19/03/2020 9:51:56 AM","0.00","0.00","0.00"
"19/03/2020 9:51:55 AM","0.00","0.00","1.00"
"19/03/2020 9:51:53 AM","0.00","0.00","1.00"
"19/03/2020 9:20:44 AM","0.00","1.00","1.00"
"19/03/2020 9:15:46 AM","1.00","1.00","1.00"
"19/03/2020 9:15:43 AM","1.00","1.00","0.00"
"19/03/2020 9:15:37 AM","1.00","0.00","0.00"
"19/03/2020 6:46:06 AM","0.00","0.00","0.00"
"19/03/2020 6:46:03 AM","0.00","0.00","1.00"
"19/03/2020 6:29:57 AM","0.00","1.00","1.00"
"19/03/2020 6:29:53 AM","0.00","1.00","0.00"
"19/03/2020 6:14:51 AM","0.00","1.00","1.00"
"19/03/2020 6:13:06 AM","1.00","1.00","1.00"
"19/03/2020 6:13:05 AM","1.00","1.00","0.00"
"19/03/2020 6:06:44 AM","1.00","1.00","1.00"
"19/03/2020 6:06:43 AM","1.00","1.00","1.00"
"19/03/2020 6:06:33 AM","1.00","1.00","0.00"
"19/03/2020 6:06:26 AM","1.00","0.00","0.00"
"18/03/2020 3:31:06 PM","0.00","0.00","0.00"
"18/03/2020 3:31:03 PM","0.00","0.00","1.00"
"18/03/2020 3:23:32 PM","0.00","1.00","1.00"
"18/03/2020 3:23:31 PM","0.00","1.00","0.00"
"18/03/2020 2:59:55 PM","0.00","1.00","1.00"
"18/03/2020 1:33:25 PM","1.00","1.00","1.00"
"18/03/2020 1:24:50 PM","1.00","1.00","1.00"
"18/03/2020 1:24:43 PM","1.00","1.00","0.00"
"18/03/2020 9:53:46 AM","0.00","0.00","0.00"
"18/03/2020 9:53:43 AM","0.00","0.00","1.00"
"18/03/2020 9:22:37 AM","0.00","1.00","1.00"
"18/03/2020 9:17:09 AM","1.00","1.00","1.00"
"18/03/2020 9:17:03 AM","1.00","1.00","0.00"
"18/03/2020 9:16:58 AM","1.00","0.00","0.00"
"18/03/2020 6:19:36 AM","0.00","0.00","0.00"
"18/03/2020 6:19:33 AM","0.00","0.00","1.00"
"18/03/2020 5:48:27 AM","0.00","1.00","1.00"
"18/03/2020 5:45:39 AM","1.00","1.00","1.00"
"18/03/2020 5:45:33 AM","1.00","1.00","0.00"
"18/03/2020 5:39:33 AM","1.00","0.00","0.00"
"17/03/2020 6:00:06 PM","0.00","0.00","0.00"
"17/03/2020 6:00:03 PM","0.00","0.00","1.00"
"17/03/2020 5:52:08 PM","0.00","1.00","1.00"
"17/03/2020 4:36:22 PM","1.00","1.00","1.00"
"17/03/2020 4:35:30 PM","0.00","1.00","1.00"
"17/03/2020 4:19:39 PM","1.00","1.00","1.00"
"17/03/2020 4:19:33 PM","1.00","1.00","0.00"
"17/03/2020 1:17:06 PM","0.00","0.00","0.00"
"17/03/2020 1:17:03 PM","0.00","0.00","1.00"
"17/03/2020 12:45:52 PM","0.00","1.00","1.00"
"17/03/2020 12:38:37 PM","1.00","1.00","1.00"
"17/03/2020 12:33:04 PM","0.00","1.00","1.00"
"17/03/2020 11:42:22 AM","1.00","1.00","1.00"
"17/03/2020 11:41:01 AM","0.00","1.00","1.00"
"17/03/2020 11:28:17 AM","1.00","1.00","1.00"
"17/03/2020 11:28:16 AM","1.00","1.00","1.00"
"17/03/2020 11:28:15 AM","1.00","1.00","0.00"
"17/03/2020 11:28:14 AM","1.00","1.00","1.00"
"17/03/2020 11:28:12 AM","1.00","1.00","0.00"
"17/03/2020 11:28:10 AM","1.00","1.00","1.00"
"17/03/2020 11:28:03 AM","1.00","1.00","0.00"
"17/03/2020 11:27:57 AM","1.00","0.00","0.00"
"17/03/2020 11:02:16 AM","0.00","0.00","0.00"
