"Timestamp","AHU_B1_01-PIR1 Log","AHU_B1_01-PIR2 Log","AHU_B1_01-Sts Log","AHU_B1_01-Enable Log"
"19/03/2020 5:33:17 PM","0.00","0.00","1.00","1.00"
"19/03/2020 5:20:49 PM","0.00","1.00","1.00","1.00"
"19/03/2020 5:18:13 PM","1.00","1.00","1.00","1.00"
"19/03/2020 5:15:41 PM","1.00","0.00","1.00","1.00"
"19/03/2020 4:14:48 PM","0.00","0.00","1.00","1.00"
"19/03/2020 4:09:43 PM","1.00","0.00","1.00","1.00"
"19/03/2020 3:07:51 PM","0.00","0.00","1.00","1.00"
"19/03/2020 3:02:47 PM","1.00","0.00","1.00","1.00"
"19/03/2020 3:02:25 PM","0.00","0.00","1.00","1.00"
"19/03/2020 2:57:19 PM","1.00","0.00","1.00","1.00"
"19/03/2020 2:52:28 PM","0.00","0.00","1.00","1.00"
"19/03/2020 2:47:25 PM","1.00","0.00","1.00","1.00"
"19/03/2020 2:44:53 PM","0.00","0.00","1.00","1.00"
"19/03/2020 2:39:48 PM","1.00","0.00","1.00","1.00"
"19/03/2020 2:36:16 PM","0.00","0.00","1.00","1.00"
"19/03/2020 2:10:05 PM","0.00","1.00","1.00","1.00"
"19/03/2020 1:11:22 PM","0.00","0.00","1.00","1.00"
"19/03/2020 12:56:11 PM","0.00","1.00","1.00","1.00"
"19/03/2020 12:48:27 PM","0.00","0.00","1.00","1.00"
"19/03/2020 12:37:44 PM","0.00","1.00","1.00","1.00"
"19/03/2020 12:33:19 PM","1.00","1.00","1.00","1.00"
"19/03/2020 12:31:34 PM","1.00","0.00","1.00","1.00"
"19/03/2020 12:31:23 PM","0.00","0.00","1.00","1.00"
"19/03/2020 12:18:23 PM","1.00","0.00","1.00","1.00"
"19/03/2020 11:02:51 AM","0.00","0.00","1.00","1.00"
"19/03/2020 10:57:42 AM","1.00","0.00","1.00","1.00"
"19/03/2020 10:45:55 AM","0.00","0.00","1.00","1.00"
"19/03/2020 10:44:58 AM","0.00","1.00","1.00","1.00"
"19/03/2020 10:39:56 AM","1.00","1.00","1.00","1.00"
"19/03/2020 10:07:52 AM","0.00","1.00","1.00","1.00"
"19/03/2020 6:30:52 AM","0.00","0.00","1.00","1.00"
"19/03/2020 6:23:28 AM","0.00","1.00","1.00","1.00"
"19/03/2020 6:17:08 AM","1.00","1.00","1.00","1.00"
"19/03/2020 6:14:44 AM","0.00","1.00","1.00","1.00"
"19/03/2020 6:14:07 AM","0.00","0.00","1.00","1.00"
"19/03/2020 6:00:02 AM","0.00","1.00","1.00","1.00"
"19/03/2020 5:56:43 AM","0.00","1.00","1.00","0.00"
"18/03/2020 9:21:51 PM","0.00","0.00","1.00","0.00"
"18/03/2020 9:16:44 PM","1.00","0.00","1.00","0.00"
"18/03/2020 7:52:10 PM","0.00","0.00","1.00","0.00"
"18/03/2020 7:36:20 PM","0.00","1.00","1.00","0.00"
"18/03/2020 6:35:15 PM","0.00","0.00","1.00","0.00"
"18/03/2020 6:35:12 PM","0.00","0.00","1.00","1.00"
"18/03/2020 6:26:36 PM","0.00","1.00","1.00","1.00"
"18/03/2020 6:21:32 PM","1.00","1.00","1.00","1.00"
"18/03/2020 6:20:09 PM","0.00","1.00","1.00","1.00"
"18/03/2020 3:42:52 PM","0.00","0.00","1.00","1.00"
"18/03/2020 3:35:56 PM","1.00","0.00","1.00","1.00"
"18/03/2020 3:18:46 PM","0.00","0.00","1.00","1.00"
"18/03/2020 3:10:14 PM","1.00","0.00","1.00","1.00"
"18/03/2020 3:04:44 PM","0.00","0.00","1.00","1.00"
"18/03/2020 2:48:27 PM","0.00","1.00","1.00","1.00"
"18/03/2020 11:37:31 AM","0.00","0.00","1.00","1.00"
"18/03/2020 11:31:15 AM","0.00","1.00","1.00","1.00"
"18/03/2020 11:26:06 AM","1.00","1.00","1.00","1.00"
"18/03/2020 11:22:24 AM","0.00","1.00","1.00","1.00"
"18/03/2020 10:46:14 AM","0.00","0.00","1.00","1.00"
"18/03/2020 10:31:00 AM","0.00","1.00","1.00","1.00"
"18/03/2020 9:24:25 AM","0.00","0.00","1.00","1.00"
"18/03/2020 9:18:54 AM","1.00","0.00","1.00","1.00"
"18/03/2020 8:26:38 AM","0.00","0.00","1.00","1.00"
"18/03/2020 8:10:55 AM","0.00","1.00","1.00","1.00"
"18/03/2020 6:19:38 AM","0.00","0.00","1.00","1.00"
"18/03/2020 6:19:05 AM","0.00","1.00","1.00","1.00"
"18/03/2020 6:13:45 AM","1.00","1.00","1.00","1.00"
"18/03/2020 6:11:46 AM","0.00","1.00","1.00","1.00"
"18/03/2020 6:05:38 AM","1.00","1.00","1.00","1.00"
"18/03/2020 6:00:01 AM","0.00","1.00","1.00","1.00"
"18/03/2020 5:50:10 AM","0.00","1.00","1.00","0.00"
"17/03/2020 7:01:12 PM","0.00","0.00","1.00","0.00"
"17/03/2020 5:00:06 PM","0.00","0.00","1.00","1.00"
"17/03/2020 4:44:38 PM","0.00","1.00","1.00","1.00"
"17/03/2020 3:21:47 PM","0.00","0.00","1.00","1.00"
"17/03/2020 3:16:01 PM","1.00","0.00","1.00","1.00"
"17/03/2020 3:10:34 PM","0.00","0.00","1.00","1.00"
"17/03/2020 3:04:28 PM","1.00","0.00","1.00","1.00"
"17/03/2020 3:01:23 PM","0.00","0.00","1.00","1.00"
"17/03/2020 2:46:11 PM","0.00","1.00","1.00","1.00"
"17/03/2020 2:03:50 PM","0.00","0.00","1.00","1.00"
"17/03/2020 1:21:28 PM","0.00","1.00","1.00","1.00"
"17/03/2020 1:15:55 PM","1.00","1.00","1.00","1.00"
"17/03/2020 1:14:21 PM","0.00","1.00","1.00","1.00"
"17/03/2020 1:09:13 PM","1.00","1.00","1.00","1.00"
"17/03/2020 12:51:19 PM","0.00","1.00","1.00","1.00"
"17/03/2020 12:47:16 PM","0.00","0.00","1.00","1.00"
"17/03/2020 12:30:18 PM","0.00","1.00","1.00","1.00"
"17/03/2020 12:25:07 PM","1.00","1.00","1.00","1.00"
"17/03/2020 12:09:25 PM","0.00","1.00","1.00","1.00"
"17/03/2020 11:51:21 AM","0.00","0.00","1.00","1.00"
"17/03/2020 11:33:08 AM","0.00","1.00","1.00","1.00"
"17/03/2020 11:23:00 AM","1.00","1.00","1.00","1.00"
"17/03/2020 11:19:55 AM","0.00","1.00","1.00","1.00"
"17/03/2020 11:17:53 AM","1.00","1.00","1.00","1.00"
"17/03/2020 11:13:42 AM","1.00","0.00","1.00","1.00"
"17/03/2020 9:47:23 AM","0.00","0.00","1.00","1.00"
"17/03/2020 9:41:42 AM","1.00","0.00","1.00","1.00"
"17/03/2020 9:00:07 AM","0.00","0.00","1.00","1.00"
"17/03/2020 8:53:54 AM","1.00","0.00","1.00","1.00"
"17/03/2020 8:52:11 AM","0.00","0.00","1.00","1.00"
"17/03/2020 8:39:14 AM","0.00","1.00","1.00","1.00"
"17/03/2020 8:27:34 AM","1.00","1.00","1.00","1.00"
"17/03/2020 8:13:01 AM","0.00","1.00","1.00","1.00"
"17/03/2020 7:34:09 AM","0.00","0.00","1.00","1.00"
"17/03/2020 7:27:57 AM","1.00","0.00","1.00","1.00"
"17/03/2020 6:31:06 AM","0.00","0.00","1.00","1.00"
"17/03/2020 6:23:46 AM","0.00","1.00","1.00","1.00"
"17/03/2020 6:17:09 AM","1.00","1.00","1.00","1.00"
"17/03/2020 6:00:01 AM","0.00","1.00","1.00","1.00"
"17/03/2020 5:56:21 AM","0.00","1.00","1.00","0.00"
"16/03/2020 11:26:31 PM","0.00","0.00","1.00","0.00"
"16/03/2020 11:11:35 PM","0.00","1.00","1.00","0.00"
"16/03/2020 10:50:44 PM","0.00","0.00","1.00","0.00"
"16/03/2020 10:45:36 PM","1.00","0.00","1.00","0.00"
"16/03/2020 9:50:10 PM","0.00","0.00","1.00","0.00"
"16/03/2020 9:34:44 PM","0.00","1.00","1.00","0.00"
"16/03/2020 9:07:58 PM","0.00","0.00","1.00","0.00"
"16/03/2020 9:07:54 PM","0.00","0.00","1.00","1.00"
"16/03/2020 6:00:05 PM","0.00","1.00","1.00","1.00"
"16/03/2020 5:54:22 PM","1.00","1.00","1.00","1.00"
"16/03/2020 5:51:42 PM","0.00","1.00","1.00","1.00"
"16/03/2020 5:46:41 PM","1.00","1.00","1.00","1.00"
"16/03/2020 5:44:40 PM","0.00","1.00","1.00","1.00"
"16/03/2020 5:34:58 PM","1.00","1.00","1.00","1.00"
"16/03/2020 5:28:48 PM","0.00","1.00","1.00","1.00"
"16/03/2020 5:10:35 PM","1.00","1.00","1.00","1.00"
"16/03/2020 4:50:35 PM","0.00","1.00","1.00","1.00"
"16/03/2020 4:45:33 PM","1.00","1.00","1.00","1.00"
"16/03/2020 4:37:56 PM","0.00","1.00","1.00","1.00"
"16/03/2020 3:56:36 PM","1.00","1.00","1.00","1.00"
"16/03/2020 3:55:24 PM","0.00","1.00","1.00","1.00"
"16/03/2020 3:46:42 PM","1.00","1.00","1.00","1.00"
"16/03/2020 3:35:40 PM","0.00","1.00","1.00","1.00"
"16/03/2020 3:03:09 PM","1.00","1.00","1.00","1.00"
"16/03/2020 2:54:34 PM","0.00","1.00","1.00","1.00"
"16/03/2020 2:48:58 PM","1.00","1.00","1.00","1.00"
"16/03/2020 2:35:06 PM","0.00","1.00","1.00","1.00"
"16/03/2020 2:23:51 PM","1.00","1.00","1.00","1.00"
"16/03/2020 2:22:44 PM","0.00","1.00","1.00","1.00"
"16/03/2020 2:09:49 PM","1.00","1.00","1.00","1.00"
"16/03/2020 2:00:52 PM","0.00","1.00","1.00","1.00"
"16/03/2020 1:57:44 PM","0.00","0.00","1.00","1.00"
"16/03/2020 1:46:56 PM","1.00","0.00","1.00","1.00"
"16/03/2020 1:45:53 PM","1.00","1.00","1.00","1.00"
"16/03/2020 1:34:39 PM","0.00","1.00","1.00","1.00"
"16/03/2020 1:00:33 PM","1.00","1.00","1.00","1.00"
"16/03/2020 12:19:23 PM","0.00","1.00","1.00","1.00"
"16/03/2020 12:14:23 PM","1.00","1.00","1.00","1.00"
"16/03/2020 12:04:44 PM","0.00","1.00","1.00","1.00"
"16/03/2020 11:55:30 AM","1.00","1.00","1.00","1.00"
"16/03/2020 11:51:37 AM","0.00","1.00","1.00","1.00"
"16/03/2020 11:50:09 AM","0.00","0.00","1.00","1.00"
"16/03/2020 11:48:29 AM","1.00","0.00","1.00","1.00"
"16/03/2020 11:45:10 AM","1.00","1.00","1.00","1.00"
"16/03/2020 11:44:19 AM","0.00","1.00","1.00","1.00"
"16/03/2020 11:39:17 AM","1.00","1.00","1.00","1.00"
"16/03/2020 11:38:41 AM","0.00","1.00","1.00","1.00"
"16/03/2020 11:32:48 AM","1.00","1.00","1.00","1.00"
"16/03/2020 11:26:46 AM","0.00","1.00","1.00","1.00"
"16/03/2020 11:06:19 AM","1.00","1.00","1.00","1.00"
"16/03/2020 11:02:05 AM","0.00","1.00","1.00","1.00"
"16/03/2020 10:54:47 AM","1.00","1.00","1.00","1.00"
"16/03/2020 10:49:15 AM","0.00","1.00","1.00","1.00"
"16/03/2020 10:44:14 AM","1.00","1.00","1.00","1.00"
"16/03/2020 10:40:07 AM","0.00","1.00","1.00","1.00"
"16/03/2020 10:34:47 AM","1.00","1.00","1.00","1.00"
"16/03/2020 10:18:33 AM","0.00","1.00","1.00","1.00"
"16/03/2020 10:07:34 AM","1.00","1.00","1.00","1.00"
"16/03/2020 10:00:44 AM","0.00","1.00","1.00","1.00"
"16/03/2020 9:52:46 AM","1.00","1.00","1.00","1.00"
"16/03/2020 9:44:47 AM","0.00","1.00","1.00","1.00"
"16/03/2020 9:39:45 AM","1.00","1.00","1.00","1.00"
"16/03/2020 9:37:40 AM","0.00","1.00","1.00","1.00"
"16/03/2020 9:26:42 AM","1.00","1.00","1.00","1.00"
"16/03/2020 9:25:41 AM","0.00","1.00","1.00","1.00"
"16/03/2020 9:02:41 AM","1.00","1.00","1.00","1.00"
"16/03/2020 9:02:25 AM","0.00","1.00","1.00","1.00"
"16/03/2020 8:52:37 AM","1.00","1.00","1.00","1.00"
"16/03/2020 8:25:20 AM","0.00","1.00","1.00","1.00"
"16/03/2020 8:15:00 AM","1.00","1.00","1.00","1.00"
"16/03/2020 7:49:07 AM","0.00","1.00","1.00","1.00"
"16/03/2020 7:43:21 AM","1.00","1.00","1.00","1.00"
"16/03/2020 7:38:44 AM","0.00","1.00","1.00","1.00"
"16/03/2020 6:57:52 AM","1.00","1.00","1.00","1.00"
"16/03/2020 6:42:26 AM","0.00","1.00","1.00","1.00"
"16/03/2020 6:29:08 AM","0.00","0.00","1.00","1.00"
"16/03/2020 6:22:24 AM","0.00","1.00","1.00","1.00"
"16/03/2020 6:16:54 AM","1.00","1.00","1.00","1.00"
"16/03/2020 6:14:28 AM","0.00","1.00","1.00","1.00"
"16/03/2020 6:09:25 AM","1.00","1.00","1.00","1.00"
"16/03/2020 6:06:00 AM","0.00","1.00","1.00","1.00"
"16/03/2020 6:00:45 AM","0.00","0.00","1.00","1.00"
"16/03/2020 6:00:02 AM","0.00","1.00","1.00","1.00"
"16/03/2020 5:48:47 AM","0.00","1.00","1.00","0.00"
"16/03/2020 5:45:42 AM","1.00","1.00","1.00","0.00"
"16/03/2020 5:43:44 AM","1.00","0.00","1.00","0.00"
"14/03/2020 11:50:15 PM","0.00","0.00","1.00","0.00"
"14/03/2020 11:35:12 PM","0.00","1.00","1.00","0.00"
"14/03/2020 8:57:32 PM","0.00","0.00","1.00","0.00"
"14/03/2020 8:42:33 PM","0.00","1.00","1.00","0.00"
"14/03/2020 5:03:08 PM","0.00","0.00","1.00","0.00"
"14/03/2020 4:48:04 PM","0.00","1.00","1.00","0.00"
"14/03/2020 4:35:07 PM","0.00","0.00","1.00","0.00"
"14/03/2020 4:11:55 PM","0.00","1.00","1.00","0.00"
"14/03/2020 5:48:44 AM","0.00","0.00","1.00","0.00"
"14/03/2020 5:39:37 AM","0.00","1.00","1.00","0.00"
"14/03/2020 5:34:22 AM","1.00","1.00","1.00","0.00"
"14/03/2020 5:33:36 AM","0.00","1.00","1.00","0.00"
"13/03/2020 8:31:02 PM","0.00","0.00","1.00","0.00"
"13/03/2020 6:43:14 PM","0.00","0.00","1.00","1.00"
"13/03/2020 6:33:44 PM","0.00","1.00","1.00","1.00"
"13/03/2020 6:28:43 PM","1.00","1.00","1.00","1.00"
"13/03/2020 6:28:13 PM","0.00","1.00","1.00","1.00"
"13/03/2020 4:39:01 PM","0.00","0.00","1.00","1.00"
"13/03/2020 4:21:06 PM","0.00","1.00","1.00","1.00"
"13/03/2020 3:50:30 PM","0.00","0.00","1.00","1.00"
"13/03/2020 3:33:41 PM","0.00","1.00","1.00","1.00"
"13/03/2020 3:04:24 PM","0.00","0.00","1.00","1.00"
"13/03/2020 2:43:55 PM","0.00","1.00","1.00","1.00"
"13/03/2020 2:10:48 PM","0.00","0.00","1.00","1.00"
"13/03/2020 2:03:57 PM","1.00","0.00","1.00","1.00"
"13/03/2020 2:03:22 PM","0.00","0.00","1.00","1.00"
"13/03/2020 2:00:19 PM","1.00","0.00","1.00","1.00"
"13/03/2020 1:57:50 PM","1.00","1.00","1.00","1.00"
"13/03/2020 1:43:49 PM","0.00","1.00","1.00","1.00"
"13/03/2020 1:42:54 PM","0.00","0.00","1.00","1.00"
"13/03/2020 1:27:14 PM","0.00","1.00","1.00","1.00"
"13/03/2020 1:22:23 PM","0.00","0.00","1.00","1.00"
"13/03/2020 12:58:57 PM","0.00","1.00","1.00","1.00"
"13/03/2020 12:53:57 PM","1.00","1.00","1.00","1.00"
"13/03/2020 12:19:22 PM","0.00","1.00","1.00","1.00"
"13/03/2020 12:12:00 PM","1.00","1.00","1.00","1.00"
"13/03/2020 12:11:05 PM","1.00","0.00","1.00","1.00"
"13/03/2020 12:10:45 PM","0.00","0.00","1.00","1.00"
"13/03/2020 12:10:37 PM","1.00","0.00","1.00","1.00"
"13/03/2020 12:00:37 PM","1.00","1.00","1.00","1.00"
"13/03/2020 11:55:45 AM","0.00","1.00","1.00","1.00"
"13/03/2020 11:48:47 AM","1.00","1.00","1.00","1.00"
"13/03/2020 11:48:24 AM","0.00","1.00","1.00","1.00"
"13/03/2020 11:43:20 AM","1.00","1.00","1.00","1.00"
"13/03/2020 11:35:41 AM","0.00","1.00","1.00","1.00"
"13/03/2020 11:34:17 AM","0.00","0.00","1.00","1.00"
"13/03/2020 11:33:38 AM","1.00","0.00","1.00","1.00"
"13/03/2020 11:27:32 AM","1.00","1.00","1.00","1.00"
"13/03/2020 11:16:31 AM","0.00","1.00","1.00","1.00"
"13/03/2020 10:35:28 AM","0.00","0.00","1.00","1.00"
"13/03/2020 10:20:17 AM","0.00","1.00","1.00","1.00"
"13/03/2020 10:19:09 AM","0.00","0.00","1.00","1.00"
"13/03/2020 10:04:12 AM","0.00","1.00","1.00","1.00"
"13/03/2020 9:22:47 AM","0.00","0.00","1.00","1.00"
"13/03/2020 9:00:34 AM","0.00","1.00","1.00","1.00"
"13/03/2020 8:55:30 AM","1.00","1.00","1.00","1.00"
"13/03/2020 8:55:03 AM","0.00","1.00","1.00","1.00"
"13/03/2020 8:52:28 AM","0.00","0.00","1.00","1.00"
"13/03/2020 8:47:25 AM","1.00","0.00","1.00","1.00"
"13/03/2020 8:43:23 AM","0.00","0.00","1.00","1.00"
"13/03/2020 8:38:21 AM","1.00","0.00","1.00","1.00"
"13/03/2020 8:37:45 AM","0.00","0.00","1.00","1.00"
"13/03/2020 8:36:40 AM","0.00","1.00","1.00","1.00"
"13/03/2020 8:30:32 AM","1.00","1.00","1.00","1.00"
"13/03/2020 8:17:15 AM","0.00","1.00","1.00","1.00"
"13/03/2020 8:13:46 AM","1.00","1.00","1.00","1.00"
"13/03/2020 8:11:48 AM","1.00","0.00","1.00","1.00"
"13/03/2020 8:08:44 AM","1.00","1.00","1.00","1.00"
"13/03/2020 7:56:44 AM","0.00","1.00","1.00","1.00"
"13/03/2020 6:32:38 AM","0.00","0.00","1.00","1.00"
"13/03/2020 6:20:41 AM","0.00","1.00","1.00","1.00"
"13/03/2020 6:15:37 AM","1.00","1.00","1.00","1.00"
"13/03/2020 6:10:45 AM","0.00","1.00","1.00","1.00"
"13/03/2020 6:05:25 AM","0.00","0.00","1.00","1.00"
"13/03/2020 6:00:01 AM","0.00","1.00","1.00","1.00"
"13/03/2020 5:49:24 AM","0.00","1.00","1.00","0.00"
"12/03/2020 6:00:01 PM","0.00","0.00","1.00","0.00"
"12/03/2020 3:39:36 PM","0.00","0.00","1.00","1.00"
"12/03/2020 3:15:41 PM","0.00","1.00","1.00","1.00"
"12/03/2020 2:41:43 PM","0.00","0.00","1.00","1.00"
