"Timestamp","FCU-00-17  PIR Log","FCU-00-17  Enable Log","FCU-00-17  Status Log"
"22/03/2020 11:40:15 AM","1.00","1.00","1.00"
"22/03/2020 11:39:04 AM","0.00","1.00","1.00"
"22/03/2020 11:11:14 AM","1.00","1.00","1.00"
"22/03/2020 11:07:42 AM","0.00","1.00","1.00"
"22/03/2020 10:56:33 AM","1.00","1.00","1.00"
"22/03/2020 10:53:45 AM","0.00","1.00","1.00"
"22/03/2020 10:45:40 AM","1.00","1.00","1.00"
"22/03/2020 10:44:26 AM","0.00","1.00","1.00"
"22/03/2020 10:14:09 AM","1.00","1.00","1.00"
"22/03/2020 10:13:57 AM","1.00","1.00","0.00"
"22/03/2020 10:07:48 AM","1.00","0.00","0.00"
"22/03/2020 10:04:38 AM","0.00","0.00","0.00"
"22/03/2020 10:04:37 AM","0.00","0.00","1.00"
"22/03/2020 9:34:11 AM","0.00","1.00","1.00"
"22/03/2020 9:34:07 AM","0.00","1.00","0.00"
"22/03/2020 9:33:28 AM","0.00","0.00","0.00"
"22/03/2020 9:27:58 AM","1.00","0.00","0.00"
"22/03/2020 8:58:39 AM","0.00","0.00","0.00"
"22/03/2020 8:58:37 AM","0.00","0.00","1.00"
"22/03/2020 8:27:35 AM","0.00","1.00","1.00"
"22/03/2020 8:26:19 AM","1.00","1.00","1.00"
"22/03/2020 8:26:07 AM","1.00","1.00","0.00"
"22/03/2020 8:20:06 AM","1.00","0.00","0.00"
"21/03/2020 5:54:14 PM","0.00","0.00","0.00"
"21/03/2020 5:54:07 PM","0.00","0.00","1.00"
"21/03/2020 5:23:07 PM","0.00","1.00","1.00"
"21/03/2020 5:18:03 PM","1.00","1.00","1.00"
"21/03/2020 5:12:53 PM","0.00","1.00","1.00"
"21/03/2020 4:59:04 PM","1.00","1.00","1.00"
"21/03/2020 4:51:20 PM","0.00","1.00","1.00"
"21/03/2020 4:19:37 PM","1.00","1.00","1.00"
"21/03/2020 4:17:28 PM","0.00","1.00","1.00"
"21/03/2020 4:12:22 PM","1.00","1.00","1.00"
"21/03/2020 4:09:27 PM","0.00","1.00","1.00"
"21/03/2020 3:55:40 PM","1.00","1.00","1.00"
"21/03/2020 3:49:04 PM","0.00","1.00","1.00"
"21/03/2020 3:43:44 PM","1.00","1.00","1.00"
"21/03/2020 3:41:56 PM","0.00","1.00","1.00"
"21/03/2020 3:34:06 PM","1.00","1.00","1.00"
"21/03/2020 3:30:50 PM","0.00","1.00","1.00"
"21/03/2020 3:25:48 PM","1.00","1.00","1.00"
"21/03/2020 3:24:10 PM","0.00","1.00","1.00"
"21/03/2020 12:25:58 PM","1.00","1.00","1.00"
"21/03/2020 12:24:30 PM","0.00","1.00","1.00"
"21/03/2020 12:14:13 PM","1.00","1.00","1.00"
"21/03/2020 12:13:07 PM","0.00","1.00","1.00"
"21/03/2020 11:59:58 AM","1.00","1.00","1.00"
"21/03/2020 11:58:14 AM","0.00","1.00","1.00"
"21/03/2020 11:53:11 AM","1.00","1.00","1.00"
"21/03/2020 11:52:05 AM","0.00","1.00","1.00"
"21/03/2020 11:46:30 AM","1.00","1.00","1.00"
"21/03/2020 11:46:27 AM","0.00","1.00","1.00"
"21/03/2020 11:41:10 AM","1.00","1.00","1.00"
"21/03/2020 11:38:31 AM","0.00","1.00","1.00"
"21/03/2020 11:33:31 AM","1.00","1.00","1.00"
"21/03/2020 11:29:27 AM","0.00","1.00","1.00"
"21/03/2020 11:22:56 AM","1.00","1.00","1.00"
"21/03/2020 11:16:51 AM","0.00","1.00","1.00"
"21/03/2020 11:11:49 AM","1.00","1.00","1.00"
"21/03/2020 11:06:11 AM","0.00","1.00","1.00"
"21/03/2020 10:54:24 AM","1.00","1.00","1.00"
"21/03/2020 10:44:46 AM","0.00","1.00","1.00"
"21/03/2020 10:39:27 AM","1.00","1.00","1.00"
"21/03/2020 10:36:43 AM","0.00","1.00","1.00"
"21/03/2020 10:31:35 AM","1.00","1.00","1.00"
"21/03/2020 10:25:18 AM","0.00","1.00","1.00"
"21/03/2020 10:20:17 AM","1.00","1.00","1.00"
"21/03/2020 10:16:32 AM","0.00","1.00","1.00"
"21/03/2020 10:05:52 AM","1.00","1.00","1.00"
"21/03/2020 10:04:59 AM","0.00","1.00","1.00"
"21/03/2020 9:59:12 AM","1.00","1.00","1.00"
"21/03/2020 9:56:03 AM","0.00","1.00","1.00"
"21/03/2020 8:35:06 AM","1.00","1.00","1.00"
"21/03/2020 8:34:57 AM","1.00","1.00","0.00"
"21/03/2020 8:28:49 AM","1.00","0.00","0.00"
