"Timestamp","FCU-00-08   PIR Log","FCU-00-08  Enable Log","FCU-00-08   Status Log"
"16/03/2020 5:35:56 AM","0.00","1.00","1.00"
"16/03/2020 5:31:51 AM","1.00","1.00","1.00"
"16/03/2020 5:31:48 AM","1.00","1.00","0.00"
"16/03/2020 5:25:42 AM","1.00","0.00","0.00"
"15/03/2020 1:45:09 AM","0.00","0.00","0.00"
"14/03/2020 5:56:00 AM","0.00","0.00","0.00"
"14/03/2020 5:55:58 AM","0.00","0.00","1.00"
"14/03/2020 5:24:52 AM","0.00","1.00","1.00"
"14/03/2020 5:21:50 AM","1.00","1.00","1.00"
"14/03/2020 5:21:48 AM","1.00","1.00","0.00"
"14/03/2020 5:15:45 AM","1.00","0.00","0.00"
"13/03/2020 4:16:00 PM","0.00","0.00","0.00"
"13/03/2020 4:15:58 PM","0.00","0.00","1.00"
"13/03/2020 3:44:45 PM","0.00","1.00","1.00"
"13/03/2020 3:39:41 PM","1.00","1.00","1.00"
"13/03/2020 3:39:38 PM","1.00","1.00","0.00"
"13/03/2020 3:39:37 PM","1.00","0.00","0.00"
"13/03/2020 3:17:10 PM","0.00","0.00","0.00"
"13/03/2020 3:17:08 PM","0.00","0.00","1.00"
"13/03/2020 2:46:01 PM","0.00","1.00","1.00"
"13/03/2020 2:40:58 PM","1.00","1.00","1.00"
"13/03/2020 2:33:28 PM","0.00","1.00","1.00"
"13/03/2020 1:43:36 PM","1.00","1.00","1.00"
"13/03/2020 10:08:06 AM","0.00","1.00","1.00"
"13/03/2020 10:08:05 AM","0.00","1.00","0.00"
"13/03/2020 10:02:23 AM","0.00","1.00","1.00"
"13/03/2020 10:00:20 AM","0.00","1.00","1.00"
"13/03/2020 10:00:18 AM","0.00","1.00","0.00"
"13/03/2020 6:41:20 AM","0.00","0.00","0.00"
"13/03/2020 6:41:18 AM","0.00","0.00","1.00"
"13/03/2020 6:10:10 AM","0.00","1.00","1.00"
"13/03/2020 5:55:54 AM","1.00","1.00","1.00"
"13/03/2020 5:55:53 AM","1.00","1.00","0.00"
"13/03/2020 5:54:51 AM","1.00","1.00","1.00"
"13/03/2020 5:54:48 AM","1.00","1.00","0.00"
"13/03/2020 5:48:48 AM","1.00","0.00","0.00"
"12/03/2020 4:00:00 PM","0.00","0.00","0.00"
"12/03/2020 3:59:58 PM","0.00","0.00","1.00"
"12/03/2020 3:28:47 PM","0.00","1.00","1.00"
"12/03/2020 1:24:04 PM","1.00","1.00","1.00"
"12/03/2020 1:07:55 PM","0.00","1.00","1.00"
"12/03/2020 12:56:28 PM","1.00","1.00","1.00"
"12/03/2020 12:56:26 PM","0.00","1.00","1.00"
"12/03/2020 12:51:20 PM","1.00","1.00","1.00"
"12/03/2020 12:45:53 PM","0.00","1.00","1.00"
"12/03/2020 12:32:41 PM","1.00","1.00","1.00"
"12/03/2020 12:16:16 PM","0.00","1.00","1.00"
"12/03/2020 12:08:31 PM","1.00","1.00","1.00"
"12/03/2020 12:08:08 PM","0.00","1.00","1.00"
"12/03/2020 11:43:41 AM","1.00","1.00","1.00"
"12/03/2020 11:24:57 AM","0.00","1.00","1.00"
"12/03/2020 11:20:00 AM","1.00","1.00","1.00"
"12/03/2020 11:19:58 AM","1.00","1.00","0.00"
"12/03/2020 11:19:55 AM","1.00","0.00","0.00"
"12/03/2020 10:08:40 AM","0.00","0.00","0.00"
"12/03/2020 10:08:38 AM","0.00","0.00","1.00"
"12/03/2020 9:37:31 AM","0.00","1.00","1.00"
"12/03/2020 9:32:40 AM","1.00","1.00","1.00"
"12/03/2020 9:32:38 AM","1.00","1.00","0.00"
"12/03/2020 9:32:30 AM","1.00","0.00","0.00"
"12/03/2020 6:34:50 AM","0.00","0.00","0.00"
"12/03/2020 6:34:48 AM","0.00","0.00","1.00"
"12/03/2020 6:03:35 AM","0.00","1.00","1.00"
"12/03/2020 6:00:11 AM","1.00","1.00","1.00"
"12/03/2020 6:00:08 AM","1.00","1.00","0.00"
"12/03/2020 5:54:32 AM","1.00","0.00","0.00"
"11/03/2020 6:37:30 PM","0.00","0.00","0.00"
"11/03/2020 6:37:28 PM","0.00","0.00","1.00"
"11/03/2020 6:06:27 PM","0.00","1.00","1.00"
"11/03/2020 6:06:10 PM","1.00","1.00","1.00"
"11/03/2020 6:06:08 PM","1.00","1.00","0.00"
"11/03/2020 6:00:10 PM","1.00","0.00","0.00"
"11/03/2020 6:00:08 PM","1.00","0.00","1.00"
"11/03/2020 5:51:02 PM","1.00","1.00","1.00"
"11/03/2020 5:50:40 PM","0.00","1.00","1.00"
"11/03/2020 5:43:18 PM","1.00","1.00","1.00"
"11/03/2020 5:32:08 PM","0.00","1.00","1.00"
"11/03/2020 5:27:06 PM","1.00","1.00","1.00"
"11/03/2020 5:23:36 PM","0.00","1.00","1.00"
"11/03/2020 5:18:11 PM","1.00","1.00","1.00"
"11/03/2020 5:17:55 PM","0.00","1.00","1.00"
"11/03/2020 5:05:37 PM","1.00","1.00","1.00"
"11/03/2020 5:05:19 PM","0.00","1.00","1.00"
"11/03/2020 5:00:17 PM","1.00","1.00","1.00"
"11/03/2020 4:44:40 PM","0.00","1.00","1.00"
"11/03/2020 4:32:13 PM","1.00","1.00","1.00"
"11/03/2020 4:23:05 PM","0.00","1.00","1.00"
"11/03/2020 4:18:03 PM","1.00","1.00","1.00"
"11/03/2020 4:14:30 PM","0.00","1.00","1.00"
"11/03/2020 4:03:32 PM","1.00","1.00","1.00"
"11/03/2020 3:54:00 PM","0.00","1.00","1.00"
"11/03/2020 3:45:10 PM","1.00","1.00","1.00"
"11/03/2020 3:43:44 PM","0.00","1.00","1.00"
"11/03/2020 3:38:01 PM","1.00","1.00","1.00"
"11/03/2020 3:37:58 PM","1.00","1.00","0.00"
"11/03/2020 3:37:54 PM","1.00","0.00","0.00"
"11/03/2020 8:09:30 AM","0.00","0.00","0.00"
"11/03/2020 8:09:28 AM","0.00","0.00","1.00"
"11/03/2020 8:09:21 AM","0.00","1.00","1.00"
"11/03/2020 8:09:18 AM","0.00","1.00","0.00"
"11/03/2020 8:08:50 AM","0.00","0.00","0.00"
"11/03/2020 8:08:48 AM","0.00","0.00","1.00"
"11/03/2020 7:03:51 AM","0.00","1.00","1.00"
"11/03/2020 7:03:48 AM","0.00","1.00","0.00"
"11/03/2020 7:03:45 AM","0.00","0.00","0.00"
"11/03/2020 7:03:38 AM","0.00","0.00","1.00"
"11/03/2020 7:03:31 AM","0.00","1.00","1.00"
"11/03/2020 7:03:28 AM","0.00","1.00","0.00"
"11/03/2020 6:01:50 AM","0.00","0.00","0.00"
