"Timestamp","FCU-00-14  PIR Log","FCU-00-14  Enable Log","FCU-00-14   Status Log"
"21/02/2020 5:41:40 PM","1.00","0.00","1.00"
"21/02/2020 5:25:20 PM","1.00","1.00","1.00"
"21/02/2020 5:25:10 PM","1.00","1.00","0.00"
"21/02/2020 11:20:14 AM","1.00","0.00","0.00"
"21/02/2020 11:20:10 AM","1.00","0.00","1.00"
"21/02/2020 10:59:40 AM","1.00","1.00","1.00"
"21/02/2020 10:59:30 AM","1.00","1.00","0.00"
"21/02/2020 9:15:34 AM","1.00","0.00","0.00"
"21/02/2020 9:15:30 AM","1.00","0.00","1.00"
"20/02/2020 6:09:24 PM","1.00","1.00","1.00"
"20/02/2020 6:09:20 PM","1.00","1.00","0.00"
"20/02/2020 5:16:03 PM","1.00","0.00","0.00"
"20/02/2020 5:16:00 PM","1.00","0.00","1.00"
"20/02/2020 4:52:55 PM","1.00","1.00","1.00"
"20/02/2020 4:52:50 PM","1.00","1.00","0.00"
"20/02/2020 4:06:43 PM","1.00","0.00","0.00"
"20/02/2020 4:06:40 PM","1.00","0.00","1.00"
"20/02/2020 3:51:15 PM","1.00","1.00","1.00"
"20/02/2020 3:51:10 PM","1.00","1.00","0.00"
"20/02/2020 2:48:04 PM","1.00","0.00","0.00"
"20/02/2020 2:48:00 PM","1.00","0.00","1.00"
"20/02/2020 2:28:40 PM","1.00","1.00","1.00"
"20/02/2020 2:28:30 PM","1.00","1.00","0.00"
"20/02/2020 11:35:13 AM","1.00","0.00","0.00"
"20/02/2020 11:35:10 AM","1.00","0.00","1.00"
"20/02/2020 11:17:25 AM","1.00","1.00","1.00"
"20/02/2020 11:17:20 AM","1.00","1.00","0.00"
"20/02/2020 10:08:14 AM","1.00","0.00","0.00"
"20/02/2020 10:08:10 AM","1.00","0.00","1.00"
"20/02/2020 9:56:04 AM","1.00","1.00","1.00"
"20/02/2020 9:56:00 AM","1.00","1.00","0.00"
"20/02/2020 9:36:44 AM","1.00","0.00","0.00"
"20/02/2020 9:36:40 AM","1.00","0.00","1.00"
"19/02/2020 6:06:15 PM","1.00","1.00","1.00"
"19/02/2020 6:06:10 PM","1.00","1.00","0.00"
"19/02/2020 6:00:14 PM","1.00","0.00","0.00"
"19/02/2020 6:00:10 PM","1.00","0.00","1.00"
"18/02/2020 6:09:25 PM","1.00","1.00","1.00"
"18/02/2020 6:09:20 PM","1.00","1.00","0.00"
"18/02/2020 4:12:54 PM","1.00","0.00","0.00"
"18/02/2020 4:12:50 PM","1.00","0.00","1.00"
"18/02/2020 3:53:35 PM","1.00","1.00","1.00"
"18/02/2020 3:53:30 PM","1.00","1.00","0.00"
"18/02/2020 3:17:44 PM","1.00","0.00","0.00"
"18/02/2020 3:17:40 PM","1.00","0.00","1.00"
"18/02/2020 10:06:50 AM","1.00","1.00","1.00"
"18/02/2020 10:06:40 AM","1.00","1.00","0.00"
"18/02/2020 9:54:44 AM","1.00","0.00","0.00"
"18/02/2020 9:54:40 AM","1.00","0.00","1.00"
"18/02/2020 9:36:00 AM","1.00","1.00","1.00"
"18/02/2020 9:35:50 AM","1.00","1.00","0.00"
"18/02/2020 9:19:04 AM","1.00","0.00","0.00"
"18/02/2020 9:19:00 AM","1.00","0.00","1.00"
"18/02/2020 8:43:00 AM","1.00","1.00","1.00"
"18/02/2020 8:42:50 AM","1.00","1.00","0.00"
"18/02/2020 8:31:04 AM","1.00","0.00","0.00"
"18/02/2020 8:31:00 AM","1.00","0.00","1.00"
"18/02/2020 8:15:50 AM","1.00","1.00","1.00"
"18/02/2020 8:15:40 AM","1.00","1.00","0.00"
"18/02/2020 7:51:54 AM","1.00","0.00","0.00"
"18/02/2020 7:51:50 AM","1.00","0.00","1.00"
"17/02/2020 6:06:10 PM","1.00","1.00","1.00"
"17/02/2020 6:06:00 PM","1.00","1.00","0.00"
"17/02/2020 6:00:14 PM","1.00","0.00","0.00"
"17/02/2020 6:00:10 PM","1.00","0.00","1.00"
"17/02/2020 9:41:35 AM","1.00","1.00","1.00"
"17/02/2020 9:41:30 AM","1.00","1.00","0.00"
"17/02/2020 7:21:23 AM","1.00","0.00","0.00"
"17/02/2020 7:21:20 AM","1.00","0.00","1.00"
"14/02/2020 6:06:10 PM","1.00","1.00","1.00"
"14/02/2020 6:06:00 PM","1.00","1.00","0.00"
"14/02/2020 6:00:14 PM","1.00","0.00","0.00"
"14/02/2020 6:00:10 PM","1.00","0.00","1.00"
"13/02/2020 6:06:10 PM","1.00","1.00","1.00"
"13/02/2020 6:06:00 PM","1.00","1.00","0.00"
"13/02/2020 6:00:14 PM","1.00","0.00","0.00"
"13/02/2020 6:00:10 PM","1.00","0.00","1.00"
"13/02/2020 8:25:30 AM","1.00","1.00","1.00"
"13/02/2020 8:25:20 AM","1.00","1.00","0.00"
"13/02/2020 6:24:04 AM","1.00","0.00","0.00"
"13/02/2020 6:24:00 AM","1.00","0.00","1.00"
"12/02/2020 6:06:10 PM","1.00","1.00","1.00"
"12/02/2020 6:06:00 PM","1.00","1.00","0.00"
