"Timestamp","AHU_B1_02-PIR2 Log","AHU_B1_02-Sts Log","AHU_B1_02-Enable Log"
"20/03/2020 5:15:36 PM","1.00","1.00","1.00"
"20/03/2020 4:47:46 PM","0.00","1.00","1.00"
"20/03/2020 4:42:46 PM","1.00","1.00","1.00"
"20/03/2020 4:35:07 PM","0.00","1.00","1.00"
"20/03/2020 4:30:05 PM","1.00","1.00","1.00"
"20/03/2020 4:04:47 PM","0.00","1.00","1.00"
"20/03/2020 3:59:47 PM","1.00","1.00","1.00"
"20/03/2020 3:55:35 PM","0.00","1.00","1.00"
"20/03/2020 3:50:19 PM","1.00","1.00","1.00"
"20/03/2020 3:23:49 PM","0.00","1.00","1.00"
"20/03/2020 3:18:49 PM","1.00","1.00","1.00"
"20/03/2020 2:46:22 PM","0.00","1.00","1.00"
"20/03/2020 2:41:20 PM","1.00","1.00","1.00"
"20/03/2020 2:11:59 PM","0.00","1.00","1.00"
"20/03/2020 2:06:59 PM","1.00","1.00","1.00"
"20/03/2020 1:52:37 PM","0.00","1.00","1.00"
"20/03/2020 1:43:13 PM","1.00","1.00","1.00"
"20/03/2020 12:34:12 PM","0.00","1.00","1.00"
"20/03/2020 12:22:36 PM","1.00","1.00","1.00"
"20/03/2020 12:17:46 PM","0.00","1.00","1.00"
"20/03/2020 12:12:43 PM","1.00","1.00","1.00"
"20/03/2020 12:11:10 PM","0.00","1.00","1.00"
"20/03/2020 12:03:43 PM","1.00","1.00","1.00"
"20/03/2020 12:02:00 PM","0.00","1.00","1.00"
"20/03/2020 11:56:48 AM","1.00","1.00","1.00"
"20/03/2020 11:14:19 AM","0.00","1.00","1.00"
"20/03/2020 11:09:19 AM","1.00","1.00","1.00"
"20/03/2020 11:08:27 AM","0.00","1.00","1.00"
"20/03/2020 11:03:27 AM","1.00","1.00","1.00"
"20/03/2020 11:02:54 AM","0.00","1.00","1.00"
"20/03/2020 10:56:29 AM","1.00","1.00","1.00"
"20/03/2020 10:53:56 AM","0.00","1.00","1.00"
"20/03/2020 10:45:38 AM","1.00","1.00","1.00"
"20/03/2020 10:44:34 AM","0.00","1.00","1.00"
"20/03/2020 10:39:34 AM","1.00","1.00","1.00"
"20/03/2020 9:38:53 AM","0.00","1.00","1.00"
"20/03/2020 9:33:54 AM","1.00","1.00","1.00"
"20/03/2020 9:07:57 AM","0.00","1.00","1.00"
"20/03/2020 9:02:40 AM","1.00","1.00","1.00"
"20/03/2020 9:01:06 AM","0.00","1.00","1.00"
"20/03/2020 8:56:00 AM","1.00","1.00","1.00"
"20/03/2020 8:43:19 AM","0.00","1.00","1.00"
"20/03/2020 8:38:14 AM","1.00","1.00","1.00"
"20/03/2020 7:56:54 AM","0.00","1.00","1.00"
"20/03/2020 7:51:54 AM","1.00","1.00","1.00"
"20/03/2020 6:48:00 AM","0.00","1.00","1.00"
"20/03/2020 6:32:33 AM","1.00","1.00","1.00"
"20/03/2020 6:08:35 AM","0.00","1.00","1.00"
"20/03/2020 6:04:02 AM","1.00","1.00","1.00"
"20/03/2020 6:03:29 AM","1.00","0.00","1.00"
"20/03/2020 6:00:01 AM","0.00","0.00","1.00"
"20/03/2020 5:56:33 AM","0.00","0.00","0.00"
"20/03/2020 5:47:24 AM","1.00","0.00","0.00"
"20/03/2020 5:41:45 AM","0.00","0.00","0.00"
"20/03/2020 5:36:19 AM","1.00","0.00","0.00"
"20/03/2020 5:32:39 AM","0.00","0.00","0.00"
"20/03/2020 5:27:36 AM","1.00","0.00","0.00"
"20/03/2020 4:18:30 AM","0.00","0.00","0.00"
"20/03/2020 4:13:06 AM","1.00","0.00","0.00"
"20/03/2020 4:12:48 AM","0.00","0.00","0.00"
"20/03/2020 4:07:47 AM","1.00","0.00","0.00"
"19/03/2020 9:16:20 PM","0.00","0.00","0.00"
"19/03/2020 9:11:10 PM","1.00","0.00","0.00"
"19/03/2020 8:54:37 PM","0.00","0.00","0.00"
"19/03/2020 7:56:01 PM","0.00","1.00","0.00"
"19/03/2020 7:49:42 PM","1.00","1.00","0.00"
"19/03/2020 7:47:04 PM","0.00","1.00","0.00"
"19/03/2020 7:42:04 PM","1.00","1.00","0.00"
"19/03/2020 7:31:40 PM","0.00","1.00","0.00"
"19/03/2020 7:26:40 PM","1.00","1.00","0.00"
"19/03/2020 6:33:47 PM","0.00","1.00","0.00"
"19/03/2020 6:29:32 PM","1.00","1.00","0.00"
"19/03/2020 6:28:46 PM","1.00","0.00","0.00"
"19/03/2020 6:28:02 PM","0.00","0.00","0.00"
"19/03/2020 6:24:00 PM","0.00","1.00","0.00"
"19/03/2020 6:22:46 PM","0.00","0.00","0.00"
"19/03/2020 6:00:01 PM","0.00","1.00","0.00"
"19/03/2020 5:36:20 PM","0.00","1.00","1.00"
"19/03/2020 5:31:20 PM","1.00","1.00","1.00"
"19/03/2020 5:20:23 PM","0.00","1.00","1.00"
"19/03/2020 5:14:20 PM","1.00","1.00","1.00"
"19/03/2020 4:57:10 PM","0.00","1.00","1.00"
"19/03/2020 4:52:08 PM","1.00","1.00","1.00"
