"Timestamp","FCU-00-13   PIR Log","FCU-00-13   Enable Log","FCU-00-13  Status Log"
"16/03/2020 7:16:42 AM","0.00","1.00","1.00"
"16/03/2020 7:14:22 AM","0.00","1.00","1.00"
"16/03/2020 6:46:09 AM","0.00","1.00","1.00"
"16/03/2020 6:43:48 AM","0.00","1.00","1.00"
"16/03/2020 6:41:00 AM","0.00","1.00","1.00"
"16/03/2020 6:40:21 AM","0.00","1.00","1.00"
"16/03/2020 6:39:59 AM","0.00","1.00","1.00"
"16/03/2020 6:39:25 AM","0.00","1.00","1.00"
"16/03/2020 6:39:24 AM","0.00","1.00","0.00"
"16/03/2020 6:39:23 AM","0.00","1.00","0.00"
"16/03/2020 6:39:10 AM","0.00","1.00","1.00"
"16/03/2020 6:39:04 AM","0.00","1.00","1.00"
"16/03/2020 6:38:47 AM","0.00","1.00","1.00"
"16/03/2020 6:38:11 AM","0.00","1.00","1.00"
"16/03/2020 6:38:08 AM","0.00","1.00","1.00"
"16/03/2020 6:38:04 AM","0.00","1.00","1.00"
"16/03/2020 6:38:02 AM","0.00","1.00","1.00"
"16/03/2020 6:37:21 AM","0.00","1.00","1.00"
"16/03/2020 6:37:20 AM","0.00","1.00","0.00"
"16/03/2020 6:36:05 AM","0.00","1.00","1.00"
"16/03/2020 6:36:04 AM","0.00","1.00","1.00"
"16/03/2020 6:36:03 AM","0.00","1.00","0.00"
"16/03/2020 6:35:55 AM","0.00","1.00","1.00"
"16/03/2020 6:35:53 AM","0.00","1.00","1.00"
"16/03/2020 6:35:49 AM","0.00","1.00","0.00"
"16/03/2020 6:35:37 AM","0.00","1.00","1.00"
"16/03/2020 6:35:28 AM","0.00","1.00","1.00"
"16/03/2020 6:29:14 AM","0.00","1.00","1.00"
"16/03/2020 6:29:12 AM","0.00","1.00","1.00"
"16/03/2020 6:29:11 AM","0.00","1.00","0.00"
"16/03/2020 6:09:41 AM","0.00","1.00","1.00"
"16/03/2020 6:09:40 AM","0.00","1.00","0.00"
"16/03/2020 6:09:39 AM","0.00","1.00","0.00"
"16/03/2020 6:09:38 AM","0.00","1.00","1.00"
"16/03/2020 6:09:29 AM","0.00","1.00","1.00"
"16/03/2020 6:07:14 AM","0.00","1.00","1.00"
"16/03/2020 6:00:50 AM","0.00","1.00","1.00"
"16/03/2020 6:00:02 AM","0.00","1.00","0.00"
"10/03/2020 9:27:34 AM","0.00","0.00","0.00"
"10/03/2020 9:27:32 AM","0.00","0.00","1.00"
"10/03/2020 9:21:48 AM","0.00","1.00","1.00"
"10/03/2020 9:03:58 AM","0.00","1.00","1.00"
"10/03/2020 9:03:57 AM","0.00","1.00","0.00"
"10/03/2020 9:03:43 AM","0.00","1.00","1.00"
"10/03/2020 9:00:41 AM","0.00","1.00","1.00"
"10/03/2020 8:59:53 AM","0.00","1.00","1.00"
"10/03/2020 8:59:20 AM","0.00","1.00","0.00"
"10/03/2020 8:44:30 AM","0.00","1.00","1.00"
"10/03/2020 8:44:29 AM","0.00","1.00","0.00"
"10/03/2020 7:41:46 AM","0.00","1.00","1.00"
"10/03/2020 7:40:55 AM","0.00","1.00","1.00"
"10/03/2020 7:40:54 AM","0.00","1.00","0.00"
"10/03/2020 7:39:12 AM","0.00","1.00","1.00"
"10/03/2020 7:34:25 AM","0.00","1.00","1.00"
"10/03/2020 7:32:09 AM","0.00","1.00","1.00"
"10/03/2020 7:30:37 AM","0.00","1.00","1.00"
"10/03/2020 7:28:58 AM","0.00","1.00","1.00"
"10/03/2020 7:25:28 AM","0.00","1.00","1.00"
"10/03/2020 7:23:31 AM","0.00","1.00","1.00"
"10/03/2020 7:23:24 AM","0.00","1.00","1.00"
"10/03/2020 7:23:23 AM","0.00","1.00","0.00"
"10/03/2020 7:17:25 AM","0.00","1.00","1.00"
"10/03/2020 7:15:46 AM","0.00","1.00","1.00"
"10/03/2020 7:15:02 AM","0.00","1.00","1.00"
"10/03/2020 7:13:46 AM","0.00","1.00","1.00"
"10/03/2020 7:11:40 AM","0.00","1.00","1.00"
"10/03/2020 7:08:03 AM","0.00","1.00","1.00"
"10/03/2020 7:08:01 AM","0.00","1.00","0.00"
"10/03/2020 7:01:19 AM","0.00","1.00","1.00"
"10/03/2020 7:00:32 AM","0.00","1.00","0.00"
"10/03/2020 6:59:52 AM","0.00","0.00","0.00"
"10/03/2020 6:59:42 AM","0.00","1.00","0.00"
"10/03/2020 6:22:26 AM","0.00","0.00","0.00"
"10/03/2020 6:22:22 AM","0.00","0.00","1.00"
"10/03/2020 6:17:07 AM","0.00","1.00","1.00"
"10/03/2020 6:17:06 AM","0.00","1.00","0.00"
"10/03/2020 6:14:59 AM","0.00","1.00","1.00"
"10/03/2020 6:13:38 AM","0.00","1.00","1.00"
"10/03/2020 6:13:34 AM","0.00","1.00","1.00"
"10/03/2020 6:10:33 AM","0.00","1.00","1.00"
"10/03/2020 6:10:32 AM","0.00","1.00","0.00"
"10/03/2020 6:09:27 AM","0.00","1.00","1.00"
"10/03/2020 6:09:26 AM","0.00","1.00","0.00"
"10/03/2020 6:09:08 AM","0.00","1.00","1.00"
"10/03/2020 6:01:12 AM","0.00","1.00","1.00"
"10/03/2020 6:00:54 AM","0.00","1.00","1.00"
"10/03/2020 6:00:53 AM","0.00","1.00","0.00"
"10/03/2020 6:00:43 AM","0.00","1.00","1.00"
"10/03/2020 6:00:02 AM","0.00","1.00","0.00"
"9/03/2020 9:54:30 AM","0.00","0.00","0.00"
